uniprot	Gene_names	Xexp_1	Xexp_2	XNlim_1	XNlim_2	Aexp_1	Aexp_2	ANlim_1	ANlim_2	GexpUrea_1	GexpUrea_2	GNlimUrea_1	GNlimUrea_2
M7WWE2	RHTO_05097	0.00010101194682408718	8.813561023306228e-05	3.428079658922964e-05	3.186285962331625e-05	8.78810892140212e-05	9.133362132363967e-05	5.170160378914804e-05	4.3884058234500835e-05	0.00014506491657410248	0.000146130515226764	4.0147221557524734e-05	3.1031099782856594e-05
M7WXM9	RHTO_07691	2.3405088738938724e-05	2.461999889115515e-05	7.269411874965197e-06	6.454973197666262e-06	3.247966728732488e-05	3.584949291163141e-05	1.3782138496353693e-05	1.1424611912040399e-05	7.137215835113972e-05	7.412661924921378e-05	1.2230039652997274e-05	8.94673794735309e-06
M7X3L7	RHTO_05106	5.8289326282064034e-05	4.7694400963236064e-05	2.3307447939151716e-05	2.6533456374566144e-05	0.00011700699885429742	0.00012857262794367644	9.656522514681263e-05	8.654666114132941e-05	9.204950280620787e-05	9.991230474472495e-05	2.4249174854386457e-05	1.8464873755414614e-05
M7WQZ1	RHTO_07842	3.4257981258377186e-05	3.6842106628437034e-05	2.2828945751610116e-05	2.007872187391039e-05	2.8843257202958606e-05	3.350406841778616e-05	2.706210107090742e-05	2.3851776142699504e-05	5.5882612666183565e-05	5.340809078364387e-05	2.772132958938665e-05	2.183881070417222e-05
M7X4F3	RHTO_05796	1.070120068317982e-05	1.1200440622894854e-05	3.5351714848557785e-06	3.4427756545321454e-06	2.8592984676387706e-05	2.9200995220936513e-05	2.0483578999047112e-05	1.5784544835159854e-05	3.664660492278123e-05	3.419167952491098e-05	6.716662339562416e-06	6.3267980753324215e-06
M7XE29	RHTO_06406	1.1991387182578536e-05	1.2762735646250016e-05	5.27247924090449e-06	5.0918099664628485e-06	7.551544974115885e-05	9.326688797292246e-05	6.712987597261996e-05	5.038046521186888e-05	2.913233982619897e-05	2.7526951481140784e-05	7.055247350313725e-06	5.68512896820181e-06
M7WI96	RHTO_03746	3.6741611740739824e-05	3.899962149461519e-05	2.526872466443621e-05	2.4193846514586256e-05	2.9202451958993125e-05	3.4823444334253604e-05	2.6382444085966628e-05	2.43777645424578e-05	5.6200018387050445e-05	5.408857578334198e-05	3.344335102973415e-05	2.7183966271316328e-05
M7WXB6	RHTO_00789	2.15114946214341e-05	1.9566133041286977e-05	8.29809718571984e-06	7.720974021881324e-06	2.4504121894664113e-05	2.5668964642270758e-05	1.5831083301793145e-05	1.3212518866524209e-05	4.236933444791459e-05	4.466174192140103e-05	1.1169216017687703e-05	9.156189395570069e-06
M7WWX9	RHTO_07954	5.415328687530499e-05	5.9211720394065926e-05	1.4975381348943871e-05	1.3612979959897217e-05	3.9068703438766586e-05	3.9955054741494926e-05	1.8792935459928712e-05	1.6418649717347578e-05	7.20867616894764e-05	7.585920959398657e-05	1.802396097341834e-05	1.420339563818466e-05
M7X749	RHTO_00323	1.9923365134358186e-05	2.259254831497146e-05	1.5159178870687891e-05	1.4307143480063299e-05	2.8344627103298917e-05	3.28791079602222e-05	2.2027960700373157e-05	1.773049090076822e-05	5.33522455101037e-05	5.074288061075972e-05	2.2224677248118225e-05	1.8303819171028103e-05
M7X3Z4	RHTO_02788	4.381008080165788e-05	5.102269110740121e-05	2.6209571214479836e-05	2.2468308266669006e-05	2.0002131498363e-05	2.2874460000554048e-05	1.7777158336964765e-05	1.6474725505666474e-05	3.906187120835078e-05	3.8264590415234794e-05	2.0345590139977e-05	1.52781604360927e-05
M7X6X3	RHTO_00539	7.0218588697408195e-06	8.178400318733102e-06	3.980469917898198e-06	3.914776153327725e-06	2.9458616453944272e-05	3.587182671123213e-05	2.6907426936212584e-05	2.317251735521581e-05	1.2007398209209073e-05	1.2715371540569774e-05	5.591704863102156e-06	4.441303482987491e-06
M7WZ10	RHTO_07648	2.7928515635717285e-05	3.1668836149490415e-05	1.2125198234984964e-05	1.0377378723162173e-05	3.17041896366804e-05	3.527215307380853e-05	2.9545299102727167e-05	2.6833938836785588e-05	2.523856966784727e-05	2.44414016695724e-05	1.2638816078700105e-05	1.0548093003395266e-05
M7WKZ9	RHTO_05917	6.947803287406785e-05	7.13893774308599e-05	1.951761368387085e-05	1.8729082908342677e-05	5.408113885917638e-05	5.3475029977471235e-05	2.6767959288309937e-05	2.249590252975296e-05	0.00011060573236041602	9.876803036274286e-05	2.676068621504509e-05	2.1676490375176836e-05
M7XNL9	RHTO_03248	2.283082305222566e-05	2.6553615058227373e-05	1.814049549808592e-05	1.6187733447893707e-05	1.2862633034057763e-05	1.600992030869747e-05	1.4319710425141683e-05	1.322844027366325e-05	3.040286334838755e-05	2.7604625522768828e-05	1.5966455783056082e-05	1.2692151295435412e-05
M7XF42	RHTO_05648	4.112903140460215e-05	4.01396068468518e-05	1.729248484826201e-05	1.6080915092523724e-05	3.470419948409219e-05	4.1634450088124e-05	3.5209056289181305e-05	3.07744763116699e-05	3.716872584766299e-05	3.6007496162383446e-05	1.476971202578962e-05	1.1393494579731096e-05
M7WHC9	RHTO_03915	5.470153217797207e-06	5.4138383549138085e-06	1.244436382739564e-05	1.3046417106575335e-05	9.966629191007986e-07	9.684200953531588e-07	1.412677460333216e-06	1.4743085144317399e-06	1.0719065475408676e-05	1.1292352148915078e-05	1.1631630461357406e-05	8.569957250813186e-06
M7XHF8	RHTO_04363	2.4001265026782163e-05	2.5151460222229985e-05	1.1184473089226929e-05	9.940520889031564e-06	6.639002747123145e-05	7.802845469195988e-05	5.352379176048841e-05	4.474702067798208e-05	4.743799820368874e-05	4.4928755723652616e-05	1.3584978891089092e-05	1.1304770483255886e-05
M7XQS8	RHTO_00857	4.6464184253471565e-05	4.346875241847782e-05	4.958276469312544e-05	4.9255692782784266e-05	1.8295544715648788e-05	2.1900596588480254e-05	2.2383267371585984e-05	2.211515184970357e-05	5.304352338907798e-05	5.17161509487244e-05	5.072166212804315e-05	4.608657857253515e-05
M7WQK0	RHTO_08150	5.801426058010913e-05	6.025570088525411e-05	1.679331233690119e-05	1.6497426289370406e-05	5.1120138484839426e-05	4.989746202088818e-05	2.506202800974815e-05	2.1174054461316778e-05	0.00011095379785719827	9.42142117076491e-05	3.03646793492389e-05	2.46300433688406e-05
M7WIJ4	RHTO_03573	1.7616645035647087e-05	1.7150627279725375e-05	6.634989268392166e-06	5.314682530172828e-06	1.6150556547216068e-05	1.7849076545904728e-05	9.655712055289047e-06	8.410876329311833e-06	2.9156826926363854e-05	2.85536597379709e-05	8.998942074930023e-06	7.282226341215616e-06
