Gene_names	mmol_gDCW_average
RHTO_05097	7.376045572072185e-05
RHTO_07691	2.6598295898100634e-05
RHTO_05106	6.773672106889579e-05
RHTO_07842	3.188473019987406e-05
RHTO_05796	1.7083909523213033e-05
RHTO_06406	3.2257961953660614e-05
RHTO_03746	3.3948766469600334e-05
RHTO_00789	2.0141301425839935e-05
RHTO_07954	3.6049343370469644e-05
RHTO_00323	2.6227826831919373e-05
RHTO_02788	2.7532032977020267e-05
RHTO_00539	1.4313073580531354e-05
RHTO_07648	2.298929619483504e-05
RHTO_05917	4.9038904021671656e-05
RHTO_03248	1.8723656779916785e-05
RHTO_05648	2.9436526298493563e-05
RHTO_03915	6.890929838527343e-06
RHTO_04363	3.5535550051102374e-05
RHTO_00857	3.9302712564222204e-05
RHTO_08150	4.6158491828050137e-05
RHTO_03573	1.4274250353429327e-05
RHTO_03206	2.7833328260403468e-05
RHTO_05838	1.9256466012695992e-05
RHTO_06973	9.68165582807551e-06
RHTO_03963	4.081488351283293e-05
RHTO_03062	2.0510907716660045e-05
RHTO_02455	4.082544529959896e-05
RHTO_06010	4.6573990965815025e-05
RHTO_00155	3.120527335167023e-05
RHTO_04816	2.7246248380851426e-05
RPS1	2.3965829015823656e-05
RHTO_04650	1.7560729585400705e-05
RHTO_00474	2.5036004000650487e-05
RHTO_02067	3.494128066244009e-05
RHTO_03968	2.6225485595876508e-05
RHTO_07683	2.6766022373790274e-05
RHTO_03665	3.843327788015666e-05
RHTO_01873	2.384881795964611e-05
RHTO_02569	2.2895591882115643e-05
RHTO_06955	2.162356205987724e-05
RHTO_02697	8.080875238350683e-06
RHTO_05119	1.9344788763430486e-05
RHTO_04592	2.8825616983826313e-05
RHTO_06048	2.5791157425972338e-05
RHTO_03113	2.2811241337395864e-05
RHTO_05208	1.6310032808768937e-05
RHTO_05768	3.1007930216043834e-06
RHTO_07911	2.8100843387519174e-05
RHTO_03043	1.6093682256662664e-05
RHTO_07756	3.198228141202644e-05
RHTO_05964	2.859519691969205e-05
RHTO_03292	4.39174983684332e-05
RHTO_05042	1.2889626580250961e-05
RHTO_01459	7.1184838402369206e-06
RHTO_03560	1.763330566096659e-05
RHTO_00033	1.0655975769165125e-05
RHTO_01981	2.811641180970771e-05
RHTO_06539	3.283060232333342e-05
RHTO_05447	3.478019772860789e-05
RHTO_02116	2.9352756423133714e-05
RHTO_02373	3.796737976777561e-05
RHTO_03655	6.122952457629789e-05
RHTO_06792	3.005628057900022e-05
RHTO_01538	8.26264405633388e-06
RHTO_05011	2.6280719935724726e-05
RHTO_07886	2.3850898934261806e-05
RHTO_00384	9.881494977263001e-06
RHTO_02290	2.445039165517757e-05
RHTO_03745	1.0230624165484021e-05
RHTO_00632	2.082599249027827e-05
RHTO_00545	1.1816788632872964e-05
RHTO_06249	2.584324545016714e-05
RHTO_05617	1.9358071730937996e-05
RHTO_04058	9.752881741644031e-06
RHTO_06190	2.451992342016484e-05
RHTO_04325	1.7142320267866985e-05
RHTO_05390	2.3630719142201754e-05
RHTO_05130	2.9562866139436285e-05
RHTO_05517	1.7973442132771606e-05
RHTO_01695	1.6376686864240588e-05
RHTO_07359	1.6916332414569566e-05
RHTO_04593	1.9407801316948487e-05
RHTO_02115	1.9933065155348138e-05
RHTO_00469	3.107286642606522e-05
RHTO_00206	2.255655441079603e-05
RHTO_07773	9.022753459692439e-06
RHTO_04740	1.6806549883261786e-05
RHTO_08027	6.044474655236366e-06
RHTO_07038	1.3612846850121636e-05
RHTO_04566	1.1213950174725231e-05
RHTO_03737	2.1768739982078646e-05
RHTO_04326	1.648207659173871e-05
RHTO_03965	1.462076729729249e-05
RHTO_03543	7.456857057664915e-06
RHTO_07893	6.175432774886106e-06
RHTO_07868	2.2182210998832026e-05
RHTO_04775	5.66775525857928e-06
RHTO_03161	1.6820952640387163e-05
RHTO_07853	5.866041365998064e-06
RHTO_05461	3.213732706117577e-05
RHTO_05103	1.5369773261223737e-05
RHTO_07480	1.1541926587129112e-06
RHTO_02139	7.151936526756669e-07
RHTO_04427	1.0635685497467984e-05
RHTO_02577	2.1534127026414734e-05
RHTO_04185	2.0835266580106456e-05
