uniprotID	GeneName	REF_048_1	REF_048_2	REF_048_3
M7WD74	RHTO_06480	7.31263305663006e-07	7.283227505628836e-07	8.281957175015809e-07
M7WVR9	RHTO_01160	6.086505190751577e-06	5.5269238668969515e-06	6.618604552809713e-06
M7XQI3	RHTO_00747	6.110938752757799e-08	5.358185332543695e-08	6.058851529006224e-08
M7X0P4	RHTO_06925	2.7046780683223395e-07	2.5169677918359383e-07	3.092953176469524e-07
M7XPG5	RHTO_00862	4.374913460993919e-08	4.40726417711843e-08	5.418952692884714e-08
M7WZ08	RHTO_00290	1.5726932290461462e-07	1.879043734008096e-07	2.4467543841341514e-07
M7XKL5	RHTO_02646	2.6247905504852247e-05	2.4603609300192082e-05	2.631796500801615e-05
M7WLD5	RHTO_05768	3.43699618424258e-06	3.104198537357034e-06	3.139657749110474e-06
M7WW26	RHTO_04957	9.224050864222466e-07	7.904616614106448e-07	8.70982446005647e-07
M7WS43	RHTO_02272	2.181138553525798e-06	2.129660733795643e-06	2.3452042601905445e-06
M7X9N9	RHTO_03358	1.3440137334809118e-06	1.060343726146619e-06	1.4586017555937593e-06
M7XJ27	RHTO_03712	2.631976341036306e-07	2.94786044806215e-07	3.2740269042917497e-07
M7WNM0	RHTO_04441	0.0	0.0	0.0
M7WYW5	RHTO_07593	6.72349337918472e-08	6.222068695914621e-08	7.56857097561969e-08
M7XQS8	RHTO_00857	4.6265952567048235e-05	4.921652817284915e-05	5.823086207540958e-05
M7X0S1	RHTO_06960	1.847709287019946e-07	1.549962559448792e-07	1.7279930467346528e-07
M7WSY2	RHTO_02047	6.176100172571015e-08	5.516160044453434e-08	4.9873327850869465e-08
M7XER3	RHTO_01063	1.5011393754769755e-08	1.570614158480481e-08	1.1309107835254444e-08
M7XPV1	RHTO_00382	1.3346329898607105e-07	1.2854167462732152e-07	1.2944625323386847e-07
M7X540	RHTO_02938	0.0	0.0	8.824746944966105e-08
M7WEP1	RHTO_05460	3.4607896744335496e-06	4.13448638026338e-06	1.6446397587450518e-06
M7X2H6	RHTO_06289	1.3491822822490605e-05	1.2938625572575638e-05	1.4424819836087847e-05
M7XGD6	RHTO_07799	2.90617554440961e-08	2.393223609213922e-08	2.762415490204717e-08
M7WLH0	RHTO_05630	3.7624218633452045e-05	3.56096651330386e-05	3.680822234381542e-05
M7XH91	RHTO_04302	7.842425551843631e-08	8.788739002604815e-08	9.392145127663309e-08
M7XHL1	RHTO_07118	1.7682673393145873e-06	1.6355924020407974e-06	1.6524501576084746e-06
M7WJU0	RHTO_06521	3.5357371775073715e-07	2.846864043843435e-07	2.96560594120754e-07
M7WK23	RHTO_06449	1.7737968939207326e-06	1.7068876433256186e-06	1.8252537387058406e-06
M7XMR5	RHTO_01533	7.855479332962807e-09	6.704472814212376e-09	6.394277134789569e-09
M7WPA3	RHTO_00646	1.710350220988784e-08	1.7615675167947978e-08	1.6750863677335543e-08
M7WW37	RHTO_01045	1.4959419728148327e-06	2.2879570839634947e-06	2.4131536856883283e-06
M7XJL3	RHTO_06083	1.5603445089113094e-07	1.6236310205458255e-07	1.6326625102588738e-07
M7XXE8	RHTO_05118	6.638197762447498e-07	5.832136882613416e-07	6.21927532387008e-07
M7WQJ2	INT6	1.0798388304068323e-06	9.793252017459268e-07	9.411639009720344e-07
M7XAY4	RHTO_02290	6.831620534323458e-05	6.2804971665844e-05	6.603794683633102e-05
M7WUR7	RHTO_06331	6.38930236053179e-06	6.3985816359703885e-06	7.002213064900467e-06
M7WW54	RHTO_01300	9.429371336356683e-07	8.972416099329474e-07	9.632873625856448e-07
M7X9L2	RHTO_03328	1.3322842181777825e-05	1.2874099054973638e-05	1.5491060555075387e-05
M7WWZ0	RHTO_00639	9.779367704644705e-08	1.0057806442636963e-07	1.1451787662201659e-07
M7WYA9	RHTO_07418	4.590963798855166e-06	4.161409691334379e-06	4.382927617186322e-06
M7X7K9	RHTO_04179	2.6091825954900636e-06	2.32553264042252e-06	2.8844563648251322e-06
M7X7E9	RHTO_00443	2.6840669545480067e-05	2.3084093774929267e-05	2.735736364372102e-05
M7WRR3	RHTO_07569	1.4973670406033406e-06	2.589393643593622e-06	2.5285109980607423e-06
M7X2E1	RHTO_04680	1.3182231855232892e-07	1.1818666820497005e-07	9.162805292420355e-08
M7XQT8	RHTO_07941	3.2586716017110157e-07	4.771325222851244e-07	4.441341860847561e-07
M7XQE6	RHTO_00562	0.0	0.0	0.0
M7WYS5	RHTO_07881	2.7497375480686044e-07	3.581937044792017e-07	3.767911602591975e-07
M7XSK8	RHTO_07550	6.494401134845715e-06	6.27862144086764e-06	6.236271386275509e-06
M7WK31	RHTO_02463	4.2663572090389225e-06	4.381934155570183e-06	4.793344224958453e-06
M7WR73	RHTO_02519	4.889300344886742e-07	5.314877221588195e-07	5.12243190259222e-07
M7WML5	RHTO_05228	8.956193518032682e-06	8.464786342628399e-06	8.902416626961651e-06
M7XN69	RHTO_01698	3.634121218760181e-08	4.19841594466424e-08	6.000183945364802e-08
M7XGJ1	RHTO_07865	3.5034523835013324e-07	2.555275836388678e-07	3.086576281719054e-07
M7XJE2	RHTO_03509	1.7309259332119646e-07	1.6555594273479537e-07	1.542111817621581e-07
M7WVU9	RHTO_01190	6.122415447910504e-08	6.445683830426317e-08	7.172228787944607e-08
M7X183	RHTO_06080	4.827710516662585e-08	4.998180207571165e-08	4.404126242759301e-08
M7XZU4	RHTO_00286	1.8080364311042603e-05	1.635133877659285e-05	1.82985084647929e-05
M7XNS3	RHTO_01470	3.293657937496378e-06	3.098241674487445e-06	3.4599669977155916e-06
M7XBW6	RHTO_02110	0.0	6.859116265312973e-09	0.0
M7X296	RHTO_06224	1.4664693867993956e-06	1.3333803342554556e-06	1.4414017877154488e-06
M7WIR6	RHTO_03331	1.596260673605143e-06	1.41573846287932e-06	2.059816735613651e-06
M7XDP6	RHTO_01154	5.966503961124487e-08	5.0258466945874236e-08	5.5984269060022234e-08
M7WX90	RHTO_00759	5.181090277644475e-06	5.346595071879856e-06	5.712291628419436e-06
M7X531	RHTO_05679	0.0	1.583039668395262e-08	0.0
M7XSX2	RHTO_07665	1.276625269450951e-06	1.1958702531895211e-06	1.3382994457298434e-06
M7WTJ8	RHTO_01872	1.0945358275556411e-07	1.0666147841467723e-07	1.1615695009656243e-07
M7WVV8	RHTO_00970	1.251841685194718e-07	7.112402904586375e-08	0.0
M7X4C4	RHTO_02904	1.7795493434122173e-06	1.61176293637867e-06	1.681431511663856e-06
M7WX93	RHTO_02955	6.0545909668330375e-09	2.5721526892682234e-08	3.66166032380741e-08
M7X476	RHTO_05995	5.670421938744714e-07	5.081911692167914e-07	5.831914681508232e-07
M7XNL4	RHTO_01405	2.3462559755440834e-07	2.3209858174941693e-07	2.4883582867901184e-07
M7XJ98	RHTO_07038	9.953609197980739e-05	9.736895602149997e-05	0.00010756391493779107
M7WP41	RHTO_01046	3.46168740447694e-06	3.103220157594719e-06	3.304245681941367e-06
M7X2K8	RHTO_06329	2.7653613246276928e-05	2.7896153432247625e-05	3.2390580835408e-05
M7XYE7	RHTO_03036	5.876524785545181e-09	0.0	4.509699179216766e-09
M7WGW3	RHTO_04227	8.913038463109635e-07	7.627824295627068e-07	9.75736493523487e-07
M7XH21	RHTO_07516	3.62630379703368e-07	3.2846784251537676e-07	3.932104462371655e-07
M7WT29	RHTO_06776	0.0	0.0	0.0
M7WLH8	RHTO_05484	4.4255937021973655e-07	4.5091962118018325e-07	4.902965586121698e-07
M7X2Z7	RHTO_04871	1.3833020197345537e-06	1.3471887227607488e-06	1.3850496234091338e-06
M7WXH3	RHTO_08104	3.136063572005495e-06	2.9036655314943033e-06	3.552665382851945e-06
M7WVL3	RHTO_04816	8.301629476103553e-05	7.924356279146225e-05	8.511584997260249e-05
M7WZQ1	RHTO_00550	7.206479984929357e-07	6.709064880705493e-07	7.246490737518277e-07
M7XFR4	RHTO_05355	1.1883932224055951e-07	1.0074643356831217e-07	1.0625159108132812e-07
M7XPV9	RHTO_00392	1.3846169637500143e-06	1.239821181378442e-06	1.4753143538384715e-06
M7WVG4	RHTO_01492	9.68256639129724e-08	9.003239735218809e-08	1.0618077983830423e-07
M7WUP7	RHTO_01423	9.390761917904495e-07	8.45913153268249e-07	1.2167414348163675e-06
M7X0U8	RHTO_06779	8.817320804827239e-07	7.90408742858597e-07	8.423768152138246e-07
M7XZD9	RHTO_00116	4.563695955537853e-07	4.6542727842763356e-07	4.861702030950093e-07
M7XQ37	RHTO_01067	9.963469402021375e-07	9.720176590610524e-07	1.3035006210007976e-06
M7WPK7	RHTO_04072	9.197731111854874e-08	7.8105982647061e-08	8.735101433209472e-08
M7WLP6	RHTO_05680	1.6017675759203124e-06	1.3539561938336065e-06	1.4736678646218993e-06
M7WRB3	RHTO_07439	4.0226447557148835e-07	3.939858145602672e-07	4.442777331859766e-07
M7X9H8	RHTO_03600	1.7037161107301726e-06	1.9683887935002907e-06	2.100327144101604e-06
M7WLW8	RHTO_01562	3.2743866726730556e-06	3.2122502264671126e-06	4.059268110099904e-06
M7XJX0	RHTO_03377	8.921858415600964e-07	8.451970232946293e-07	9.19284622275046e-07
M7XG73	RHTO_07719	5.299548540140138e-06	5.429873561039038e-06	6.3666033845448935e-06
M7XFR9	RHTO_05360	1.3381815714344967e-08	1.6509559652163722e-08	3.1176085999707736e-08
M7X560	RHTO_05714	4.376581264301097e-06	4.4245583273452406e-06	4.998424258273077e-06
M7XJJ4	RHTO_06068	5.9915516966424335e-06	5.987623919987965e-06	6.7285575566479015e-06
M7XHN3	RHTO_04193	9.684231052493065e-06	9.858523554385632e-06	1.0677335567218762e-05
M7XBX1	RHTO_02115	0.00012317503989705875	0.0001138137825163466	0.00012959784644466361
M7XE43	RHTO_01304	2.0971793868745784e-06	1.8986357786781662e-06	1.98803365708995e-06
M7WUT5	RHTO_01690	2.2791741553082675e-07	2.2278073279998587e-07	2.1729077261872403e-07
M7WQJ3	RHTO_08140	1.2787814522004893e-06	1.3854892292159457e-06	1.5516349771831692e-06
M7XFU8	RHTO_05390	0.00010255257073189785	9.838565970584021e-05	0.00010526311290896623
M7WP13	RHTO_04135	1.7494595685552305e-08	1.5709179052062836e-08	1.9323537502175417e-08
M7XJI6	RHTO_03559	3.9490857320935475e-06	3.5975239011852563e-06	4.208215921909293e-06
M7XUZ4	RHTO_06072	1.2579284348341975e-06	1.21760123530401e-06	1.3553199526261097e-06
M7WEK6	RHTO_05594	5.1653702781379e-06	4.781054146245533e-06	4.937038427891281e-06
M7X0J3	RHTO_07359	4.590045609209918e-05	4.592408618878817e-05	5.2018316648298005e-05
M7WLX6	RHTO_05582	7.54186980547566e-07	6.9758760039021e-07	7.634262139014522e-07
M7Y0N8	RHTO_00566	1.8523080294258403e-07	1.8296197444713703e-07	2.0160004513973662e-07
M7WL95	RHTO_02113	6.681773661895642e-07	6.096509561169851e-07	6.748322143458072e-07
M7XJ40	RHTO_06973	1.6655361166782776e-05	1.6065564387028597e-05	1.6899640148951546e-05
M7XBR4	RHTO_02070	2.1831083096339786e-06	1.681232461852152e-06	2.279825189095073e-06
M7X677	RHTO_00023	8.036023247174139e-07	3.8293071161181596e-07	8.644385928601254e-07
M7XUJ6	RHTO_06972	3.5609327949470746e-05	3.626620977479472e-05	3.811931177990911e-05
M7X3Y5	RHTO_02778	1.81692818488897e-07	1.763710657935791e-07	1.7937345535826334e-07
M7XZM3	RHTO_00206	0.00010453342873206643	9.784272972226496e-05	0.00010649663328637553
M7WGQ1	RHTO_04152	1.176023788489312e-05	1.1019403569296537e-05	1.1140771886970402e-05
M7WW93	RHTO_00640	1.4253987591022505e-07	1.222518891916664e-07	1.5216038803546465e-07
M7WDS9	RHTO_05829	2.0855757323859595e-06	2.1787719143833783e-06	2.5458127588872773e-06
M7X3A8	RHTO_04971	1.4521021371110126e-06	1.1754720803195086e-06	1.138547828959345e-06
M7WPZ4	RHTO_03660	6.961877484810194e-06	7.597959689586366e-06	7.779250713823908e-06
M7XW07	RHTO_04606	2.8719541213127035e-06	2.7957581634226033e-06	3.179003098096149e-06
M7WXL9	RHTO_03085	1.8416357540435622e-06	1.7501585581786556e-06	1.9573344660444825e-06
M7XRK5	RHTO_07718	4.819208104877001e-07	4.4093070569231357e-07	5.406785400889134e-07
M7WGM1	RHTO_04357	9.328536714797362e-08	7.651882740210684e-08	9.108595268838665e-08
M7WNY6	RHTO_04043	1.2675544641890647e-05	1.3003975444813909e-05	1.683273519960361e-05
M7XQE0	RHTO_00557	4.081980373999773e-08	3.9945761301744435e-08	4.584578962089642e-08
M7WU76	RHTO_01906	7.2184888121688815e-06	7.139753226120394e-06	7.790477704424647e-06
M7WPW0	RHTO_00856	2.055267800501565e-06	2.208084819989812e-06	2.215578051402741e-06
M7WTE2	RHTO_06891	0.0	7.710981199607743e-08	0.0
M7WMD4	RHTO_05148	1.1214898945763298e-07	1.2420428040883634e-07	8.372342095341163e-08
M7WZ63	RHTO_00355	4.7941476181460555e-08	5.7911110494571523e-08	6.574923309205979e-08
M7WK86	RHTO_05997	5.643987062892365e-08	3.253695313420186e-08	5.817875860459187e-08
M7XZ23	RHTO_03292	0.00016569273250853245	0.00016013553256294795	0.00016857170750235974
M7XP63	RHTO_01203	1.2903770093769019e-07	1.1473083358738472e-07	1.0898538511457886e-07
M7XHM9	RHTO_07138	1.3100467996206366e-08	3.889346009122573e-09	7.3084035869342046e-09
M7WIJ4	RHTO_03573	1.106001016060361e-05	1.0096187932634183e-05	1.0912493899829309e-05
M7XLD8	RHTO_04874	1.1376524199086259e-05	1.1301722491990514e-05	1.2479653945931982e-05
M7WPT1	RHTO_03913	1.8669495442150227e-07	2.1382135882024462e-07	2.447419865691766e-07
M7X1L8	RHTO_06014	5.344104719925563e-08	7.23636150355923e-08	4.415904964403321e-08
M7XIH3	RHTO_06738	1.893534447621248e-06	1.5949822724251477e-06	1.7902148404327636e-06
M7WJR7	RHTO_06557	3.200458915891142e-08	2.8764306294213176e-08	3.769762309676202e-08
M7WQD3	RHTO_08080	5.967709518953837e-06	5.051286400062442e-06	6.120532395566658e-06
M7XN29	RHTO_03037	1.1500578220143598e-08	6.102374312241503e-09	1.0956043443425673e-08
M7XSC4	RHTO_07480	2.174184903511535e-06	2.0959292615149205e-06	2.779072520931025e-06
M7XHZ2	RHTO_04030	1.6228545484379215e-05	1.7206032575979628e-05	1.8195463556406122e-05
M7X9G8	RHTO_03585	5.653622231218072e-08	3.7516470630827226e-08	0.0
M7X4T0	RHTO_05777	3.196841600566214e-08	3.077586130356417e-08	2.8235889359706974e-08
M7WX06	RHTO_02880	8.967292774728032e-07	8.683288893745337e-07	1.0432920921931982e-06
M7XQP9	RHTO_00822	5.488937721725686e-07	6.071426263430082e-07	6.698616464152914e-07
M7XGA4	RHTO_07754	1.2522787965578396e-06	9.591946580613124e-07	9.95236259769326e-07
M7WET9	RHTO_05510	2.7341481766100638e-08	2.5655637935558804e-08	2.8138932456489504e-08
M7XW21	RHTO_04622	2.2682967732977566e-06	2.1401012859816497e-06	2.3694239586699336e-06
M7X0N9	RHTO_06724	7.869052049142811e-08	6.168420169723819e-08	7.16701456930026e-08
M7XPD6	RHTO_00167	1.1880068396127515e-06	1.174247062086972e-06	1.3918858285268774e-06
M7WJW8	RHTO_06479	0.0	0.0	0.0
M7WZ34	RHTO_07678	2.3886878886649254e-07	2.239390626267776e-07	2.5155735320571925e-07
M7WSK1	RHTO_07286	1.7748452526655548e-06	1.5693381001514854e-06	1.7316479810337716e-06
M7WXE3	RHTO_03005	1.7064267823977316e-07	1.4121727878888852e-07	1.8370190669059535e-07
M7X6S8	RHTO_00183	4.2117791343098896e-07	4.778459734347678e-07	4.922531468751218e-07
M7XJT3	RHTO_03342	2.5972853010570816e-06	2.2461770557907337e-06	2.410478695698444e-06
M7X0N1	RHTO_06910	4.149156122515541e-07	2.935476771435711e-07	3.0307852725536946e-07
M7XM76	RHTO_02745	5.328121031192352e-07	5.060780250206347e-07	5.774636442077703e-07
M7XZK8	RHTO_00181	3.043530037849393e-06	2.8615395396330225e-06	3.511611340483155e-06
M7XZD3	RHTO_00111	2.9352174544679737e-06	2.776834467303068e-06	3.013492427882428e-06
M7X3Q5	RHTO_02697	1.4161026610761565e-05	1.3566280871219324e-05	1.4848978577627347e-05
M7WWW3	RHTO_01079	0.0	0.0	0.0
M7XGV7	RHTO_07451	1.098672123676475e-06	1.0139895890003343e-06	1.109147339244321e-06
M7X3V2	RHTO_02747	3.7544354092523305e-07	3.808825377632839e-07	4.39083742016404e-07
M7XMJ4	RHTO_01854	5.296114924909998e-05	5.344758375677542e-05	5.832980223689788e-05
M7WMJ0	RHTO_05198	9.740812259115025e-06	8.256460275827211e-06	9.469827601978732e-06
M7WVM1	RHTO_01114	5.153393661182533e-06	5.052218426842955e-06	5.996922772746046e-06
M7X597	RHTO_05581	6.406415448756057e-08	7.251024941240631e-08	6.45869133747439e-08
M7XIT8	RHTO_03626	6.77055011630819e-07	7.071221172072137e-07	8.36266656097955e-07
M7WZU3	RHTO_00590	8.868614909894505e-06	8.85656696409192e-06	9.359554358057825e-06
M7X6S6	RHTO_00178	2.222174566047988e-05	2.0313554064767818e-05	2.8775244469360027e-05
M7XGK6	RHTO_07880	1.6231660399971629e-06	1.8600937903795708e-06	1.5573892262538907e-06
M7X7R6	RHTO_04229	2.186872874178411e-06	2.0382324528646383e-06	2.1852022436729173e-06
M7XLN1	RHTO_04974	2.386018026420149e-07	3.278665339160414e-07	3.7039043950469127e-07
M7WX59	RHTO_08019	1.0549215983677438e-07	9.479135732571437e-08	9.285102292073063e-08
M7WTD1	RHTO_06876	2.916926111232921e-07	2.788410456877423e-07	3.259861213455802e-07
