uniprot	Gene_names	Xexp_1	Xexp_2
M7WWE2	RHTO_05097	0.00013971816906554807	0.00012190781861360808
M7WXM9	RHTO_07691	1.8911383477961495e-05	1.9893034606743978e-05
M7X3L7	RHTO_05106	0.00012181937570194829	9.967694808659372e-05
M7WQZ1	RHTO_07842	3.4165189784423056e-05	3.6742315769429784e-05
M7X4F3	RHTO_05796	1.0490518273402665e-05	1.0979929309177838e-05
M7XE29	RHTO_06406	1.6580687533635222e-05	1.7647243692731422e-05
M7WI96	RHTO_03746	6.965108627596992e-05	7.393159615912149e-05
M7WXB6	RHTO_00789	1.879593694975027e-05	1.7096152985484087e-05
M7WWX9	RHTO_07954	8.598134331916681e-05	9.40128208919917e-05
M7X749	RHTO_00323	2.895576305732634e-05	3.283503923447946e-05
M7X3Z4	RHTO_02788	5.7981538159928587e-05	6.752724618015495e-05
M7X6X3	RHTO_00539	5.753347501287548e-06	6.700957668214874e-06
M7WZ10	RHTO_07648	6.405506534278814e-05	7.263362633893025e-05
M7WKZ9	RHTO_05917	0.00017776904353227705	0.00018265947982798236
M7XNL9	RHTO_03248	2.113196185031727e-05	2.4577737697624062e-05
M7XF42	RHTO_05648	4.723254454077642e-05	4.609629022362631e-05
M7WHC9	RHTO_03915	3.042248079870732e-06	3.010928338603194e-06
M7XHF8	RHTO_04363	4.681557918809668e-05	4.905908819456653e-05
M7XQS8	RHTO_00857	0.0001903899205750184	0.0001781159500251162
M7WQK0	RHTO_08150	0.00016976786553450792	0.0001763270206891622
M7WIJ4	RHTO_03573	1.3176128633308272e-05	1.282757702856144e-05
M7WXX4	RHTO_03206	3.956297552930304e-05	4.079063098405333e-05
M7WKL7	RHTO_05838	1.7772399974247464e-05	1.7054021317898947e-05
M7XJ40	RHTO_06973	4.354944746913826e-06	5.060838807807516e-06
M7X8C7	RHTO_03963	0.00022241063683422298	0.00026473197231282095
M7XN51	RHTO_03062	3.551799422893262e-05	3.452240467123035e-05
M7XAS2	RHTO_02455	0.00025281773576292895	0.00026023505536768433
M7X113	RHTO_06010	0.00023008301391282948	0.00023741787194882775
M7WYP6	RHTO_00155	9.697848081316259e-05	0.00011964271998195104
M7WVL3	RHTO_04816	0.00011726888619515674	0.00010871837409133895
M7X0F2	RPS1	6.214958304042784e-05	6.078359666878736e-05
M7X2B5	RHTO_04650	1.8932353517474017e-05	2.251444024299873e-05
M7X6Q6	RHTO_00474	4.916259766009041e-05	4.923997437358687e-05
M7WT03	RHTO_02067	0.00011372636376633396	0.00010994723827896893
M7X8D2	RHTO_03968	9.045382903423099e-05	9.401375094127044e-05
M7WJP1	RHTO_07683	9.31785756788192e-05	9.104493717493536e-05
M7WPZ9	RHTO_03665	0.00019320820976372594	0.0001996080546461019
M7WLM0	RHTO_01873	6.869638953728385e-05	7.396993860586482e-05
M7WRD8	RHTO_02569	3.108913459001865e-05	2.2493034012356848e-05
M7X0R7	RHTO_06955	5.480156115122428e-05	6.322836571913176e-05
M7X3Q5	RHTO_02697	6.333602114919123e-06	5.352961680107523e-06
M7XLZ6	RHTO_05119	7.793115364334515e-05	7.98829133691833e-05
M7XKK7	RHTO_04592	0.00020003159594010806	0.00022300476705722463
M7XJG9	RHTO_06048	7.096288577635662e-05	7.511230871026157e-05
M7X5L6	RHTO_03113	9.676741707713694e-05	0.000104657489748164
M7WMJ7	RHTO_05208	2.846886436040441e-05	3.745790231352199e-05
M7WLD5	RHTO_05768	6.326996376260354e-07	6.015651177927056e-07
M7WYV8	RHTO_07911	0.0001637611183124689	0.00017242438963008713
M7X5F4	RHTO_03043	2.0964981713495735e-05	2.723487386203383e-05
M7WXT3	RHTO_07756	0.00014231734579360885	0.00016022502846278
M7XE86	RHTO_05964	0.00013506924580820512	0.00014414842438079686
M7XZ23	RHTO_03292	0.0002504190246789482	0.00029059123647642924
M7WW95	RHTO_05042	5.5461121663704156e-06	6.109654366305611e-06
M7WMR9	RHTO_01459	1.938878064208341e-06	1.920494016137823e-06
M7X9F4	RHTO_03560	3.8049423510333866e-05	3.167409432500556e-05
M7X689	RHTO_00033	1.2483917679208835e-05	1.493289056067388e-05
M7X2U9	RHTO_01981	0.00017017965179793316	0.0002160546792778603
M7XDT3	RHTO_06539	9.662997081312034e-05	0.00010442439379456146
M7X5D5	RHTO_05447	0.00016303948727247944	0.00017288154341215734
M7WTR2	RHTO_02116	0.00023910104489462608	0.00026033487404366885
M7XKU4	RHTO_02373	0.0002074394186420592	0.0002168227979654644
M7WPY7	RHTO_03655	0.00016467309847032833	0.0001537877457057856
M7XU45	RHTO_06792	0.00019098339231630781	0.00018327846024484952
M7XMR9	RHTO_01538	8.885039032335809e-06	8.933756707547951e-06
M7X3D9	RHTO_05011	7.777468685410044e-05	8.658398282715704e-05
