Gene name	mmol_gDW_P1
RHTO_06480	7.607027392770847e-07
RHTO_01160	6.05702202365782e-06
RHTO_00747	5.828514744994833e-08
RHTO_06925	2.7610753120336704e-07
RHTO_00862	4.715733924658229e-08
RHTO_00290	1.9566074747581094e-07
RHTO_02646	2.568445202828067e-05
RHTO_05768	3.2248568999214646e-06
RHTO_04957	8.595435233640402e-07
RHTO_02272	2.2143287737620876e-06
RHTO_03358	1.2805128515460116e-06
RHTO_03712	2.9452460232398347e-07
RHTO_04441	0.0
RHTO_07593	6.813403209093845e-08
RHTO_00857	5.107672380103808e-05
RHTO_06960	1.7047766199104452e-07
RHTO_02047	5.5656389957201964e-08
RHTO_01063	1.4074821804774701e-08
RHTO_00382	1.3041562178870578e-07
RHTO_02938	8.396710370227576e-08
RHTO_05460	3.1193967752248495e-06
RHTO_06289	1.3588947424673822e-05
RHTO_07799	2.67985598721929e-08
RHTO_05630	3.664580786609963e-05
RHTO_04302	8.662394606671468e-08
RHTO_07118	1.684408494451516e-06
RHTO_06521	3.112344467609287e-07
RHTO_06449	1.7660203250041723e-06
RHTO_01533	6.98601198243595e-09
RHTO_00646	1.716460026356093e-08
RHTO_01045	2.06364834517504e-06
RHTO_06083	1.6048584147800386e-07
RHTO_05118	6.220560488286957e-07
INT6	1.0002513623236872e-06
RHTO_02290	6.563797808096334e-05
RHTO_06331	6.584548441158148e-06
RHTO_01300	9.33035340049563e-07
RHTO_03328	1.3848378880640918e-05
RHTO_00639	1.040363966353598e-07
RHTO_07418	4.372831423629263e-06
RHTO_04179	2.596177943960283e-06
RHTO_00443	2.567894023754025e-05
RHTO_07569	2.206270849643114e-06
RHTO_04680	1.1424948750004386e-07
RHTO_07941	4.1622750031723353e-07
RHTO_00562	0.0
RHTO_07881	3.363067588186208e-07
RHTO_07550	6.334529382057285e-06
RHTO_02463	4.472372824340874e-06
RHTO_02519	5.110441980065197e-07
RHTO_05228	8.763688200308568e-06
RHTO_01698	4.5808039204239825e-08
RHTO_07865	3.0378721582630563e-07
RHTO_03509	1.6439981500707858e-07
RHTO_01190	6.56628953917692e-08
RHTO_06080	4.7512504526151036e-08
RHTO_00286	1.753727106905967e-05
RHTO_01470	3.2767356489708794e-06
RHTO_02110	7.20609105478254e-09
RHTO_06224	1.4113613835055772e-06
RHTO_03331	1.679467565662957e-06
RHTO_01154	5.518110096645599e-08
RHTO_00759	5.405583793145832e-06
RHTO_05679	1.6631192055276388e-08
RHTO_07665	1.2674271168271936e-06
RHTO_01872	1.1056080570503042e-07
RHTO_00970	9.975227142400628e-08
RHTO_02904	1.6890040126273418e-06
RHTO_02955	2.2632797415495846e-08
RHTO_05995	5.513420569776053e-07
RHTO_01405	2.3815960116216318e-07
RHTO_07038	0.00010128596865790568
RHTO_01046	3.2849198635714324e-06
RHTO_06329	2.9230574830617357e-05
RHTO_03036	5.074317971027542e-09
RHTO_04227	8.727409069370794e-07
RHTO_07516	3.6022968401661456e-07
RHTO_06776	0.0
