uniprot	Gene_names	Xexp_1	Xexp_2	XNlim_1	XNlim_2
M7WWE2	RHTO_05097	0.00013971816906554807	0.00012190781861360808	4.039546583519406e-05	3.7546241201689063e-05
M7WXM9	RHTO_07691	1.8911383477961495e-05	1.9893034606743978e-05	5.003960310895572e-06	4.443334652732315e-06
M7X3L7	RHTO_05106	0.00012181937570194829	9.967694808659372e-05	4.14976618875409e-05	4.724139700812035e-05
M7WQZ1	RHTO_07842	3.4165189784423056e-05	3.6742315769429784e-05	1.9395880395979575e-05	1.705924102706483e-05
M7X4F3	RHTO_05796	1.0490518273402665e-05	1.0979929309177838e-05	2.9524088107384546e-06	2.875244162660819e-06
M7XE29	RHTO_06406	1.6580687533635222e-05	1.7647243692731422e-05	6.210828809245003e-06	5.998005603429014e-06
M7WI96	RHTO_03746	6.965108627596992e-05	7.393159615912149e-05	4.0808871471325306e-05	3.907294831544484e-05
M7WXB6	RHTO_00789	1.879593694975027e-05	1.7096152985484087e-05	6.1769414016018405e-06	5.747342195331718e-06
M7WWX9	RHTO_07954	8.598134331916681e-05	9.40128208919917e-05	2.0256241499714832e-05	1.8413408191298133e-05
M7X749	RHTO_00323	2.895576305732634e-05	3.283503923447946e-05	1.8769364506012673e-05	1.771441535902565e-05
M7X3Z4	RHTO_02788	5.7981538159928587e-05	6.752724618015495e-05	2.9551339094684595e-05	2.5333058333492394e-05
M7X6X3	RHTO_00539	5.753347501287548e-06	6.700957668214874e-06	2.778461779466822e-06	2.7326059841026574e-06
M7WZ10	RHTO_07648	6.405506534278814e-05	7.263362633893025e-05	2.3691690102805644e-05	2.0276587320381406e-05
M7WKZ9	RHTO_05917	0.00017776904353227705	0.00018265947982798236	4.2543861956957926e-05	4.082504812006933e-05
M7XNL9	RHTO_03248	2.113196185031727e-05	2.4577737697624062e-05	1.4304377619640756e-05	1.2764560486740465e-05
M7XF42	RHTO_05648	4.723254454077642e-05	4.609629022362631e-05	1.691810966961079e-05	1.5732769900351203e-05
M7WHC9	RHTO_03915	3.042248079870732e-06	3.010928338603194e-06	5.896161975610952e-06	6.181415902708173e-06
M7XHF8	RHTO_04363	4.681557918809668e-05	4.905908819456653e-05	1.8585462298611304e-05	1.65183620844515e-05
M7XQS8	RHTO_00857	0.0001903899205750184	0.0001781159500251162	0.00017308440761268481	0.00017194265909989967
M7WQK0	RHTO_08150	0.00016976786553450792	0.0001763270206891622	4.1865729560389734e-05	4.112808561033967e-05
M7WIJ4	RHTO_03573	1.3176128633308272e-05	1.282757702856144e-05	4.227721965187632e-06	3.3864410569356476e-06
M7WXX4	RHTO_03206	3.956297552930304e-05	4.079063098405333e-05	1.4632591421327667e-05	1.552935079663781e-05
M7WKL7	RHTO_05838	1.7772399974247464e-05	1.7054021317898947e-05	5.6294647068597805e-06	5.360800061343459e-06
M7XJ40	RHTO_06973	4.354944746913826e-06	5.060838807807516e-06	1.163897100010131e-06	1.1113372712886166e-06
M7X8C7	RHTO_03963	0.00022241063683422298	0.00026473197231282095	8.739519207161482e-05	8.009311177020924e-05
M7XN51	RHTO_03062	3.551799422893262e-05	3.452240467123035e-05	1.8340744865129358e-05	1.8926009562723207e-05
