Gene_names	mmol_gDCW_average
RHTO_05097	9.544561698702911e-05
RHTO_07691	2.0399071772125673e-05
RHTO_05106	0.0001279826486079964
RHTO_07842	2.9326095156278527e-05
RHTO_05796	1.542678222057831e-05
RHTO_06406	3.9190396777208815e-05
RHTO_03746	5.9224838275284956e-05
RHTO_00789	1.6436269637834128e-05
RHTO_07954	5.412119715881325e-05
RHTO_00323	3.520556668448007e-05
RHTO_02788	3.3829805488139e-05
RHTO_00539	1.0334947968728934e-05
RHTO_07648	4.78261655325633e-05
RHTO_05917	0.00011850869394639211
RHTO_03248	1.5975703326855993e-05
RHTO_05648	3.088587204903526e-05
RHTO_03915	3.4962412792137293e-06
RHTO_04363	6.233482182958616e-05
RHTO_00857	0.00014697370325276633
RHTO_08150	0.00012743086821732553
RHTO_03573	9.987744790697858e-06
RHTO_03206	3.0708157390231685e-05
RHTO_05838	2.1570871340676073e-05
RHTO_06973	9.908113469787493e-06
RHTO_03963	7.347838350689599e-05
RHTO_03062	3.2874539429820965e-05
RHTO_02455	0.00018452901706192003
RHTO_06010	0.00019045413951141856
RHTO_00155	0.00011199076637418565
RHTO_04816	8.213863983764687e-05
RPS1	4.442165333649793e-05
RHTO_04650	2.309864458742006e-05
RHTO_00474	3.93223558288623e-05
RHTO_02067	7.898016596162833e-05
RHTO_03968	5.8945227426232366e-05
RHTO_07683	6.428470774993591e-05
RHTO_03665	0.00013829123301166925
RHTO_01873	4.607600671947322e-05
RHTO_02569	2.166660506365454e-05
RHTO_06955	3.852181007885045e-05
RHTO_02697	4.4555493047636045e-06
RHTO_05119	5.137175393470314e-05
RHTO_04592	0.0001564105427609327
RHTO_06048	5.05474642608839e-05
RHTO_03113	6.615621112396358e-05
RHTO_05208	8.461182487214e-05
RHTO_05768	3.059470247973874e-06
RHTO_07911	0.0001328869043938801
RHTO_03043	2.427552646090716e-05
RHTO_07756	0.00010529527518808188
RHTO_05964	8.771683166812015e-05
RHTO_03292	0.00017093085447265045
RHTO_05042	1.2729440209136292e-05
RHTO_01459	7.004516113831814e-06
RHTO_03560	2.694679313465298e-05
RHTO_00033	1.512244637479247e-05
RHTO_01981	0.0001558561405096112
RHTO_06539	8.590621002963117e-05
RHTO_05447	0.00013803946141609022
RHTO_02116	0.0001826976535228175
RHTO_02373	0.0001571184955297635
RHTO_03655	0.0003364017663027509
RHTO_06792	0.00013362795981886524
RHTO_01538	6.1947815696871385e-06
RHTO_05011	5.9428892250332606e-05
RHTO_07886	8.229060594858882e-05
RHTO_00384	8.895380160689053e-06
RHTO_02290	6.495314980827778e-05
RHTO_03745	1.8182649079681303e-05
RHTO_00632	8.380536709174084e-05
RHTO_00545	1.6616822261591645e-05
RHTO_06249	9.680391825682667e-05
RHTO_05617	6.307491334609845e-05
RHTO_04058	1.0133130594532536e-05
RHTO_06190	0.00010076078213665181
RHTO_04325	4.132894883811185e-05
RHTO_05390	5.929729258994917e-05
RHTO_05130	0.00011441095627011843
RHTO_05517	5.0891618768840586e-05
RHTO_01695	2.319740006176196e-05
RHTO_07359	4.4833681619930924e-05
RHTO_04593	8.842858235099206e-05
RHTO_02115	7.334289932966897e-05
RHTO_00469	0.00015658100958314085
RHTO_00206	6.487645143938286e-05
RHTO_07773	2.3447494383677047e-05
RHTO_04740	6.185471444125866e-05
RHTO_08027	4.920169506034261e-06
RHTO_07038	4.627501400496962e-05
RHTO_04566	1.927048277762628e-05
RHTO_03737	6.945032603266475e-05
RHTO_04326	6.307160972520802e-05
RHTO_03965	3.42491001962564e-05
RHTO_03543	7.826542122948393e-06
RHTO_07893	7.445346708545501e-06
RHTO_07868	3.6708953832763236e-05
RHTO_04775	3.4534710670614597e-06
RHTO_03161	7.618132466318855e-05
RHTO_07853	6.457297165806453e-06
RHTO_05461	0.0002183985264203631
RHTO_05103	3.60895480298553e-05
RHTO_07480	1.123978423305876e-06
RHTO_02139	1.4056988253730473e-07
RHTO_04427	2.938861622257671e-05
RHTO_02577	9.350606121210599e-05
RHTO_04185	8.601479168931906e-05
RHTO_01922	1.7927428004048466e-05
RHTO_07080	1.816800640422005e-05
RHTO_03896	1.0234809894292661e-05
RHTO_04131	1.0573961190595233e-05
RHTO_01289	1.2343359396886622e-05
RHTO_06581	2.7843850988911006e-06
RHTO_07843	4.561048688605194e-05
RHTO_01329	2.187433967159904e-05
RHTO_04114	3.195436256063288e-05
RHTO_05714	4.6681750666233015e-06
RHTO_03921	9.120395369731196e-06
RHTO_01854	4.681694884959732e-05
RHTO_01866	3.1560942095549923e-06
RHTO_05746	1.2675874278765525e-05
RHTO_04315	4.927252753692261e-06
RHTO_07708	9.622734450846766e-06
RHTO_03967	0.0001262169028322399
RHTO_05162	7.74956921070526e-06
RHTO_04463	2.953690249550981e-06
RHTO_01027	7.948602840227194e-06
RHTO_02584	0.0002464442931796635
RHTO_04839	3.2804551379621776e-05
RHTO_00354	8.892220497384316e-05
RHTO_04890	2.8951763590647457e-05
RHTO_03594	1.7191622885104904e-06
RHTO_00592	4.131723986207462e-06
RHTO_02483	0.000253235267892885
RHTO_01560	5.062758044639467e-06
ADK1	1.4707765208390259e-05
RHTO_02628	1.3749313246829306e-06
RHTO_06248	8.341924025622934e-05
RHTO_02232	2.1964677598670226e-05
RHTO_01367	6.1023179819094024e-05
RHTO_07025	1.9501188183586405e-05
RHTO_07860	1.5458230659437554e-06
RPS0	7.151531083079849e-05
RHTO_08151	0.0003454865566818763
RHTO_02004	1.6289757401517168e-07
RHTO_05147	7.5996252413448e-06
RHTO_03291	3.985256914170859e-06
RHTO_04540	3.839261345908305e-06
RHTO_03507	1.4083423638826896e-06
RHTO_04629	2.216770517016881e-06
RHTO_02176	5.89926926971665e-05
RHTO_04048	3.892944440673553e-05
RHTO_00540	7.15744448892381e-06
RHTO_05035	0.00013522120720366263
RHTO_06703	6.610025414393466e-06
RHTO_01534	3.2532431938735297e-06
RHTO_06331	8.788147672654357e-06
RHTO_06455	7.163778246187724e-06
RHTO_01610	6.55626963289101e-06
RHTO_01970	6.270456440247369e-06
RHTO_03444	1.0137824390350137e-05
RHTO_03404	5.55306611049971e-06
RHTO_03109	4.453451632640603e-06
RHTO_01290	1.2333772953568325e-05
RHTO_02175	0.00010607620063793414
RHTO_07820	3.801662910617814e-06
RHTO_00794	2.2673812415389075e-06
RHTO_03373	8.646068562422067e-05
