uniprot	Gene_names	ANlim_1	ANlim_2
M7WWE2	RHTO_05097	6.688943927781057e-05	5.6775415720405065e-05
M7WXM9	RHTO_07691	1.0416049011665386e-05	8.634314453199879e-06
M7X3L7	RHTO_05106	0.0001887650063666881	0.0001691807896323008
M7WQZ1	RHTO_07842	2.5243930604127482e-05	2.2249291736582117e-05
M7X4F3	RHTO_05796	1.8782079435443704e-05	1.4473377672919704e-05
M7XE29	RHTO_06406	8.682051342318241e-05	6.515813999086299e-05
M7WI96	RHTO_03746	4.677977328790234e-05	4.32251953172389e-05
M7WXB6	RHTO_00789	1.2938306146402282e-05	1.0798225920575105e-05
M7WWX9	RHTO_07954	2.7909202223846565e-05	2.4383173995410175e-05
M7X749	RHTO_00323	2.9944702909682713e-05	2.4102743312836203e-05
M7X3Z4	RHTO_02788	2.200652221589413e-05	2.0394227579519254e-05
M7X6X3	RHTO_00539	2.0621206685448658e-05	1.775886155658227e-05
M7WZ10	RHTO_07648	6.338221483982872e-05	5.7565654368175906e-05
M7WKZ9	RHTO_05917	6.406152617013318e-05	5.383756875556445e-05
M7XNL9	RHTO_03248	1.2397264907624423e-05	1.1452499632908508e-05
M7XF42	RHTO_05648	3.7819923103761465e-05	3.305650450005142e-05
M7WHC9	RHTO_03915	7.3487173969758e-07	7.669320798789094e-07
M7XHF8	RHTO_04363	9.765096432020765e-05	8.163826918717829e-05
M7XQS8	RHTO_00857	8.578720413487473e-05	8.475961148606195e-05
M7WQK0	RHTO_08150	6.859782309750798e-05	5.7955965958917864e-05
M7WIJ4	RHTO_03573	6.754952886315056e-06	5.8840894396807126e-06
M7WXX4	RHTO_03206	3.704696522517779e-05	3.219463209377613e-05
M7WKL7	RHTO_05838	2.6580231475518545e-05	2.4729529657886025e-05
M7XJ40	RHTO_06973	1.8196888559655077e-05	1.306935748134327e-05
M7X8C7	RHTO_03963	2.6873663658859766e-05	2.2642924138005664e-05
M7XN51	RHTO_03062	4.093400360458061e-05	3.641539558219601e-05
M7XAS2	RHTO_02455	9.453477986552167e-05	8.297541848836805e-05
