Gene_names	mmol_gDCW_average
RHTO_05097	0.00011228896116121052
RHTO_07691	2.3998907967206615e-05
RHTO_05106	0.00015056782189176019
RHTO_07842	3.450128841915116e-05
RHTO_05796	1.81491555536215e-05
RHTO_06406	4.610634914965731e-05
RHTO_03746	6.967628032386455e-05
RHTO_00789	1.933678780921658e-05
RHTO_07954	6.367199665742725e-05
RHTO_00323	4.141831374644708e-05
RHTO_02788	3.979977116251644e-05
RHTO_00539	1.215876231615166e-05
RHTO_07648	5.626607709713322e-05
RHTO_05917	0.0001394219928781081
RHTO_03248	1.879494509041879e-05
RHTO_05648	3.633632005768849e-05
RHTO_03915	4.11322503436909e-06
RHTO_04363	7.333508450539532e-05
RHTO_00857	0.00017291023912090143
RHTO_08150	0.00014991866849097096
RHTO_03573	1.1750287989056284e-05
RHTO_03206	3.6127243988507805e-05
RHTO_05838	2.5377495694912954e-05
RHTO_06973	1.1656604082102906e-05
RHTO_03963	8.644515706693647e-05
RHTO_03062	3.867592874096577e-05
RHTO_02455	0.00021709296124931734
RHTO_06010	0.00022406369354284502
RHTO_00155	0.00013175384279315937
RHTO_04816	9.663369392664323e-05
RPS1	5.226076863117395e-05
RHTO_04650	2.7174875985200007e-05
RHTO_00474	4.6261595092779094e-05
RHTO_02067	9.291784230779788e-05
RHTO_03968	6.934732638380267e-05
RHTO_07683	7.562906794110094e-05
RHTO_03665	0.0001626955682490224
RHTO_01873	5.4207066728791923e-05
RHTO_02569	2.5490123604299408e-05
RHTO_06955	4.531977656335343e-05
RHTO_02697	5.241822711486585e-06
RHTO_05119	6.0437357570238905e-05
RHTO_04592	0.00018401240324815587
RHTO_06048	5.946760501280451e-05
RHTO_03113	7.783083661642762e-05
RHTO_05208	9.954332337898804e-05
RHTO_05768	3.5993767623221944e-06
RHTO_07911	0.00015633753458103514
RHTO_03043	2.855944289518484e-05
RHTO_07756	0.00012387679433891962
RHTO_05964	0.00010319627255072943
RHTO_03292	0.00020109512290900026
RHTO_05042	1.4975812010748542e-05
RHTO_01459	8.240607192743287e-06
RHTO_03560	3.170210957017994e-05
RHTO_00033	1.779111338210876e-05
RHTO_01981	0.00018336016530542476
RHTO_06539	0.00010106612944662471
RHTO_05447	0.0001623993663718706
