uniprot	Gene_names	Aexp_1	Aexp_2
M7WWE2	RHTO_05097	0.0001242009947534497	0.00012908040540104054
M7WXM9	RHTO_07691	2.6814770219025265e-05	2.9596852282692835e-05
M7X3L7	RHTO_05106	0.00024985536129934824	0.0002745524688491222
M7WQZ1	RHTO_07842	2.939110211324336e-05	3.414044014332858e-05
M7X4F3	RHTO_05796	2.8640027217812504e-05	2.9249038090293046e-05
M7XE29	RHTO_06406	0.00010668869949025462	0.0001317680423998175
M7WI96	RHTO_03746	5.656379081742975e-05	6.745139153489878e-05
M7WXB6	RHTO_00789	2.187671133483546e-05	2.291665590617768e-05
M7WWX9	RHTO_07954	6.338082704115574e-05	6.48187472604423e-05
M7X749	RHTO_00323	4.209132203172098e-05	4.882495424003497e-05
M7X3Z4	RHTO_02788	2.704839220317087e-05	3.093257164024558e-05
M7X6X3	RHTO_00539	2.466211704403319e-05	3.0031118070965166e-05
M7WZ10	RHTO_07648	7.429708593961133e-05	8.265841891028555e-05
M7WKZ9	RHTO_05917	0.00014138519961790592	0.0001398006393250234
M7XNL9	RHTO_03248	1.2164594268584047e-05	1.5141082258352236e-05
M7XF42	RHTO_05648	4.072155847695362e-05	4.8853444802738914e-05
M7WHC9	RHTO_03915	5.663604708374468e-07	5.503112944820876e-07
M7XHF8	RHTO_04363	0.00013231485810100165	0.00015551016174651904
M7XQS8	RHTO_00857	7.659853772509674e-05	9.169192281823411e-05
M7WQK0	RHTO_08150	0.00015284887534537255	0.00014919308081966568
M7WIJ4	RHTO_03573	1.2342456745490069e-05	1.364048691267814e-05
M7WXX4	RHTO_03206	4.3821023551257874e-05	5.3777331945177065e-05
M7WKL7	RHTO_05838	8.120886952205527e-05	9.931704690310397e-05
M7XJ40	RHTO_06973	2.299423302761603e-05	2.436497996342622e-05
M7X8C7	RHTO_03963	3.690788487166386e-05	4.072014501403882e-05
M7XN51	RHTO_03062	8.383857252996512e-05	0.00011678292594504661
M7XAS2	RHTO_02455	0.00021437625376576189	0.00021242322990967555
M7X113	RHTO_06010	0.0002318833206578118	0.00022688651092876266
M7WYP6	RHTO_00155	0.00011390750653788685	0.00013525828851647934
M7WVL3	RHTO_04816	0.00010481298704384786	9.675338934009199e-05
M7X0F2	RPS1	5.462435119003217e-05	5.331325820606185e-05
M7X2B5	RHTO_04650	1.945299995446286e-05	2.5170780014726723e-05
M7X6Q6	RHTO_00474	5.923879227771233e-05	7.12724824246214e-05
M7WT03	RHTO_02067	0.00010211643271475037	9.562634976592282e-05
M7X8D2	RHTO_03968	7.368383829740795e-05	6.940611698307409e-05
M7WJP1	RHTO_07683	8.110623152484597e-05	7.934247729216914e-05
M7WPZ9	RHTO_03665	0.00015833362342720372	0.00016205068396409116
M7WLM0	RHTO_01873	5.504352387379524e-05	5.544576855079761e-05
M7WRD8	RHTO_02569	2.844814179777839e-05	2.8935598480486767e-05
M7X0R7	RHTO_06955	3.210143524325224e-05	3.693153085590297e-05
M7X3Q5	RHTO_02697	5.446497160078039e-06	5.00137994061432e-06
M7XLZ6	RHTO_05119	6.025423790805423e-05	5.8482095104838955e-05
M7XKK7	RHTO_04592	0.00016942729789633864	0.00019253617597939248
M7XJG9	RHTO_06048	7.140220599696023e-05	7.991594446896913e-05
M7X5L6	RHTO_03113	8.319122753066038e-05	7.802555994561705e-05
M7WMJ7	RHTO_05208	0.00015595052887306792	0.0001686120106490503
M7WLD5	RHTO_05768	1.2593775146640508e-05	1.5067772045035529e-05
M7WYV8	RHTO_07911	0.00015763651118252194	0.00015403023485698592
M7X5F4	RHTO_03043	3.898874760074078e-05	4.823319815897195e-05
M7WXT3	RHTO_07756	0.0001259974063782723	0.00012906437756973134
M7XE86	RHTO_05964	0.00011227254151799913	0.00011255764148172835
M7XZ23	RHTO_03292	0.00020377454779628597	0.00021169732195672552
