uniprot	Gene_names	GNlim_1	GNlim_2
M7WWE2	RHTO_05097	5.614972540859236e-05	4.339995806278777e-05
M7WXM9	RHTO_07691	9.992010274046278e-06	7.309534557988359e-06
M7X3L7	RHTO_05106	5.124320638894862e-05	3.901985706632941e-05
M7WQZ1	RHTO_07842	2.7954267978082203e-05	2.2022319123566467e-05
M7X4F3	RHTO_05796	6.65778780959691e-06	6.271340878879659e-06
M7XE29	RHTO_06406	9.864097381898002e-06	7.948504564974346e-06
M7WI96	RHTO_03746	6.410493667548724e-05	5.210681294652432e-05
M7WXB6	RHTO_00789	9.86797592798823e-06	8.089471669676916e-06
M7WWX9	RHTO_07954	2.893620952165475e-05	2.2802558922070304e-05
M7X749	RHTO_00323	3.266027072132178e-05	2.689837439193914e-05
M7X3Z4	RHTO_02788	2.7226885642949507e-05	2.044554737248828e-05
M7X6X3	RHTO_00539	4.632599416154367e-06	3.6795182195717144e-06
M7WZ10	RHTO_07648	2.931055325477718e-05	2.446197806718592e-05
M7WKZ9	RHTO_05917	6.92337515615835e-05	5.608020427063312e-05
M7XNL9	RHTO_03248	1.4943033502584903e-05	1.1878606285863225e-05
M7XF42	RHTO_05648	1.7150503964031117e-05	1.3230059842239742e-05
M7WHC9	RHTO_03915	6.5410539094624465e-06	4.819320263447891e-06
M7XHF8	RHTO_04363	2.6793363356433184e-05	2.229615707519677e-05
M7XQS8	RHTO_00857	0.00021015083030482783	0.00019094667537663707
M7WQK0	RHTO_08150	8.984655386448368e-05	7.287824425119668e-05
M7WIJ4	RHTO_03573	6.8056259591377745e-06	5.507326107383476e-06
M7WXX4	RHTO_03206	1.7419078120157147e-05	1.3609314778140624e-05
M7WKL7	RHTO_05838	4.150210394373092e-06	3.775150778036711e-06
M7XJ40	RHTO_06973	3.947809943648081e-06	3.690472464645277e-06
M7X8C7	RHTO_03963	2.6942477258324102e-05	2.2920760586666234e-05
M7XN51	RHTO_03062	2.047199145547743e-05	1.5062153787625137e-05
M7XAS2	RHTO_02455	0.0001584179440564824	0.00012653309856462067
M7X113	RHTO_06010	0.00016619039887144532	0.00012612812030168402
M7WYP6	RHTO_00155	0.0001493572876753335	0.0001211790248215693
M7WVL3	RHTO_04816	6.62840103019597e-05	5.3613722692792386e-05
M7X0F2	RPS1	2.5423457021144084e-05	2.0828093790182975e-05
M7X2B5	RHTO_04650	1.7320303908188105e-05	1.5208421120600543e-05
M7X6Q6	RHTO_00474	2.055929843198077e-05	1.6333602617018695e-05
M7WT03	RHTO_02067	4.24392018760519e-05	3.439427140250859e-05
M7X8D2	RHTO_03968	3.39491893854268e-05	2.7195880744288312e-05
M7WJP1	RHTO_07683	3.5110120715366266e-05	2.6521498009088617e-05
M7WPZ9	RHTO_03665	0.00011032488073276592	9.385272433214565e-05
M7WLM0	RHTO_01873	2.5234348522672398e-05	1.945638370464366e-05
M7WRD8	RHTO_02569	1.2197846662362734e-05	9.520307322923688e-06
M7X0R7	RHTO_06955	4.164245415313064e-05	3.3309246872606256e-05
M7X3Q5	RHTO_02697	1.6741875446987693e-06	1.3455212748353834e-06
M7XLZ6	RHTO_05119	3.903860321751661e-05	3.1386945870637e-05
M7XKK7	RHTO_04592	0.00013478181507646232	0.0001056626771303622
M7XJG9	RHTO_06048	2.8680887885399023e-05	2.4261943002516785e-05
M7X5L6	RHTO_03113	4.731310241594624e-05	3.4324309465181933e-05
M7WMJ7	RHTO_05208	7.858933890929001e-05	8.335949101576606e-05
M7WLD5	RHTO_05768	2.483653310944051e-07	2.4336302559303735e-07
M7WYV8	RHTO_07911	0.0001167717760450588	9.617800816194315e-05
M7X5F4	RHTO_03043	2.0177170385921243e-05	1.5535801395324284e-05
M7WXT3	RHTO_07756	8.897659317820538e-05	6.867264580344552e-05
M7XE86	RHTO_05964	6.0642804393912e-05	4.5838170081981665e-05
M7XZ23	RHTO_03292	0.0001444142771298864	0.0001238276980390655
M7WW95	RHTO_05042	2.6397563933112175e-06	2.211775706349412e-06
M7WMR9	RHTO_01459	1.6396693930299367e-06	1.3030436228928146e-06
M7X9F4	RHTO_03560	2.723256543833402e-05	2.1722730386100582e-05
M7X689	RHTO_00033	1.3810714640758842e-05	1.168278190230971e-05
M7X2U9	RHTO_01981	0.00020307714646181573	0.00018065173315844665
M7XDT3	RHTO_06539	7.475040112560425e-05	6.0002726981212987e-05
M7X5D5	RHTO_05447	0.00011285661280719892	9.024317513859077e-05
M7WTR2	RHTO_02116	0.00014010359991667434	0.00012611333776558844
M7XKU4	RHTO_02373	0.00012952479958437771	0.00010685221314665454
M7WPY7	RHTO_03655	0.00047667368726822507	0.0003820301259661274
M7XU45	RHTO_06792	0.00011323126645080704	8.835870389714269e-05
M7XMR9	RHTO_01538	3.7779332126513515e-06	3.195954481513299e-06
M7X3D9	RHTO_05011	3.2708375743902266e-05	2.3792613877234414e-05
M7WYS8	RHTO_07886	6.886523172082131e-05	5.578343250181038e-05
M7X6H4	RHTO_00384	5.573765826944869e-06	4.821639584399568e-06
M7XAY4	RHTO_02290	4.175882476948575e-05	3.057823319554802e-05
M7WQ86	RHTO_03745	1.2797862964469587e-05	1.0495068387580145e-05
M7XQ75	RHTO_00632	7.504822079191061e-05	6.013191353353221e-05
M7WZP5	RHTO_00545	9.987055727211006e-06	8.318669980192956e-06
M7X2E5	RHTO_06249	8.553049729404937e-05	6.710309409820553e-05
M7WM05	RHTO_05617	4.863559407297228e-05	3.8729326041930475e-05
M7WNZ9	RHTO_04058	8.51165298944853e-06	7.070958169605756e-06
M7X1K0	RHTO_06190	8.369124038699907e-05	6.623482075368506e-05
M7WNW6	RHTO_04325	2.5169725849779085e-05	1.971254410025823e-05
M7XFU8	RHTO_05390	2.9375451019406744e-05	2.5626053755711323e-05
M7XGB9	RHTO_05130	0.00010933129378572172	7.92551253135381e-05
M7X5J4	RHTO_05517	3.477985208694604e-05	2.871713571413155e-05
M7WUU3	RHTO_01695	9.609031971057253e-06	7.491936146978976e-06
M7X0J3	RHTO_07359	3.972939235612789e-05	3.620156192808295e-05
M7X2T0	RHTO_04593	7.310692124567697e-05	5.613221012362839e-05
M7XBX1	RHTO_02115	7.294589229382761e-05	6.324352198013971e-05
M7X6Q2	RHTO_00469	0.00013700673663107418	0.00011013377246208725
M7XZM3	RHTO_00206	5.7931176510262344e-05	4.7124705116008724e-05
M7XRQ3	RHTO_07773	2.891267458948129e-05	2.5050519780365256e-05
M7X2K5	RHTO_04740	5.181874229545613e-05	4.45177554974728e-05
M7XFR0	RHTO_08027	1.4374958441910893e-06	1.071734540522264e-06
M7XJ98	RHTO_07038	3.598418245441876e-05	3.250377633794562e-05
M7XVW7	RHTO_04566	7.42528825251439e-06	6.403460289576101e-06
M7XJ56	RHTO_03737	5.422107625727235e-05	4.5756751559716595e-05
M7WNA8	RHTO_04326	5.203711709770787e-05	4.312243077640726e-05
M7WPC7	RHTO_03965	1.8365137099793904e-05	1.515279971998147e-05
M7WIG9	RHTO_03543	8.036067020196348e-06	7.004375357562788e-06
M7WR40	RHTO_07893	6.226120691783668e-06	5.42810768420356e-06
