uniprot	Gene_names	XNlim_1	XNlim_2
M7WWE2	RHTO_05097	4.752407745316954e-05	4.417204847257537e-05
M7WXM9	RHTO_07691	5.887012130465388e-06	5.2274525326262535e-06
M7X3L7	RHTO_05106	4.882077869122465e-05	5.557811412720041e-05
M7WQZ1	RHTO_07842	2.2818682818799526e-05	2.0069695325958625e-05
M7X4F3	RHTO_05796	3.473422130280539e-06	3.3826401913656694e-06
M7XE29	RHTO_06406	7.306857422641187e-06	7.056477180504723e-06
M7WI96	RHTO_03746	4.8010437025088646e-05	4.596817448875864e-05
M7WXB6	RHTO_00789	7.266989884237468e-06	6.761579053331434e-06
M7WWX9	RHTO_07954	2.383087235260572e-05	2.1662833166233095e-05
M7X749	RHTO_00323	2.2081605301191403e-05	2.0840488657677236e-05
M7X3Z4	RHTO_02788	3.476628128786427e-05	2.980359803940282e-05
M7X6X3	RHTO_00539	3.268778564078618e-06	3.214830569532538e-06
M7WZ10	RHTO_07648	2.7872576591536083e-05	2.3854808612213418e-05
M7WKZ9	RHTO_05917	5.0051602302303497e-05	4.802946837655215e-05
M7XNL9	RHTO_03248	1.6828679552518558e-05	1.5017129984400548e-05
M7XF42	RHTO_05648	1.9903658434836248e-05	1.8509141059236708e-05
M7WHC9	RHTO_03915	6.936661147777599e-06	7.272254003186086e-06
M7XHF8	RHTO_04363	2.1865249763072147e-05	1.9433367158178235e-05
M7XQS8	RHTO_00857	0.00020362871483845297	0.00020228548129399963
M7WQK0	RHTO_08150	4.925379948281153e-05	4.8385983070987847e-05
M7WIJ4	RHTO_03573	4.973790547279574e-06	3.984048302277233e-06
M7WXX4	RHTO_03206	1.7214813436856103e-05	1.826982446663272e-05
M7WKL7	RHTO_05838	6.62289965512916e-06	6.30682360158054e-06
M7XJ40	RHTO_06973	1.3692907058942735e-06	1.3074556132807254e-06
M7X8C7	RHTO_03963	0.00010281787302542935	9.422719031789323e-05
M7XN51	RHTO_03062	2.1577346900152216e-05	2.226589360320377e-05
M7XAS2	RHTO_02455	0.00012820302910320129	0.00011779339482117525
M7X113	RHTO_06010	0.00011420508592053883	0.00010506974641548734
M7WYP6	RHTO_00155	0.00010881849810776552	0.00010443326167274647
M7WVL3	RHTO_04816	3.5542150987406185e-05	3.129829894262853e-05
M7X0F2	RPS1	1.8590991959263272e-05	1.6999087449271658e-05
M7X2B5	RHTO_04650	1.0064145795252374e-05	1.0197815648626665e-05
M7X6Q6	RHTO_00474	1.8052910119804484e-05	1.678530416054807e-05
M7WT03	RHTO_02067	3.3605710269651146e-05	3.20030407453414e-05
M7X8D2	RHTO_03968	2.4619223760752148e-05	2.4411871340974776e-05
M7WJP1	RHTO_07683	2.618136267614619e-05	2.440130966996445e-05
M7WPZ9	RHTO_03665	6.258446806302009e-05	5.6938025523157815e-05
M7WLM0	RHTO_01873	1.9925941896069308e-05	1.815713570523375e-05
M7WRD8	RHTO_02569	1.6776217948869472e-05	1.4593157788084518e-05
M7X0R7	RHTO_06955	4.13217493676673e-05	3.860582856686591e-05
M7X3Q5	RHTO_02697	2.5430616403874575e-06	2.4291977801225576e-06
M7XLZ6	RHTO_05119	2.003321485825036e-05	1.8782381063361235e-05
M7XKK7	RHTO_04592	0.00011795318645299173	0.00011070349447254092
M7XJG9	RHTO_06048	3.1371010858629515e-05	3.041112061551782e-05
M7X5L6	RHTO_03113	2.612283379708218e-05	2.4084829388968164e-05
M7WMJ7	RHTO_05208	5.566231308466858e-05	5.076586385928403e-05
M7WLD5	RHTO_05768	2.0179105314460201e-07	1.5740480576973307e-07
M7WYV8	RHTO_07911	7.862576536673462e-05	7.596880584487737e-05
M7X5F4	RHTO_03043	1.4903340977411455e-05	1.4652742866592565e-05
M7WXT3	RHTO_07756	4.203419164459105e-05	4.126575287160726e-05
M7XE86	RHTO_05964	3.7596980544549206e-05	3.350633997439374e-05
M7XZ23	RHTO_03292	0.0001374730674949049	0.00011807998732215012
M7WW95	RHTO_05042	2.7915038842822805e-06	2.3948572288497083e-06
M7WMR9	RHTO_01459	1.2636893277876697e-06	1.1095234069870415e-06
M7X9F4	RHTO_03560	2.1309364183087965e-05	2.3261754380169768e-05
M7X689	RHTO_00033	1.0338347319864067e-05	8.965009707182164e-06
M7X2U9	RHTO_01981	0.0002786194968199211	0.0002612560712631669
M7XDT3	RHTO_06539	4.501783010634328e-05	3.9958656496781144e-05
M7X5D5	RHTO_05447	5.8511579312941574e-05	5.4378086046404146e-05
M7WTR2	RHTO_02116	0.00012696702348830737	0.00011479351611955596
M7XKU4	RHTO_02373	8.52750249425672e-05	8.595156486772484e-05
M7WPY7	RHTO_03655	0.0004264671344303596	0.0004288411326147073
M7XU45	RHTO_06792	8.407296044255969e-05	7.920228565420592e-05
M7XMR9	RHTO_01538	3.4829909727147787e-06	3.1429496573066535e-06
M7X3D9	RHTO_05011	2.2658038537265673e-05	2.4805299011229765e-05
M7WYS8	RHTO_07886	4.070816476989592e-05	3.6998865477579415e-05
M7X6H4	RHTO_00384	4.305558059416521e-06	4.13138188549036e-06
M7XAY4	RHTO_02290	2.3904545380305414e-05	2.3447665592027807e-05
M7WQ86	RHTO_03745	8.025848551343581e-06	7.947946463885106e-06
M7XQ75	RHTO_00632	4.349252905921041e-05	4.3723667721170064e-05
M7WZP5	RHTO_00545	1.0378219300518811e-05	9.883131255156126e-06
M7X2E5	RHTO_06249	4.5840683219816275e-05	4.395415217904374e-05
M7WM05	RHTO_05617	2.5628742790900086e-05	2.356542351947693e-05
M7WNZ9	RHTO_04058	9.273831139147583e-06	8.9561627481084e-06
M7X1K0	RHTO_06190	5.3213437999305885e-05	4.954203104328469e-05
M7WNW6	RHTO_04325	1.4928340973546678e-05	1.3988003629483184e-05
M7XFU8	RHTO_05390	3.857976242634853e-05	3.830524713517757e-05
M7XGB9	RHTO_05130	6.182925248465743e-05	5.853135196079659e-05
M7X5J4	RHTO_05517	2.1812473732350406e-05	1.9645218425245727e-05
M7WUU3	RHTO_01695	6.509301950757742e-06	6.141507963034846e-06
M7X0J3	RHTO_07359	3.452605576678037e-05	3.333942187683663e-05
M7X2T0	RHTO_04593	5.593439594038886e-05	5.424079163134413e-05
M7XBX1	RHTO_02115	5.088382269575141e-05	6.208959504260263e-05
M7X6Q2	RHTO_00469	0.00010214873274708058	0.0001031654379834916
M7XZM3	RHTO_00206	3.6857128411585737e-05	3.459302621884686e-05
M7XRQ3	RHTO_07773	1.5596130363555635e-05	1.3736992274357723e-05
M7X2K5	RHTO_04740	2.4058284811163842e-05	2.364717977006727e-05
M7XFR0	RHTO_08027	1.2474911635786018e-06	1.1328422753097105e-06
M7XJ98	RHTO_07038	3.9888258459626756e-05	3.1505968284915014e-05
M7XVW7	RHTO_04566	6.869265174513891e-06	6.415899882960247e-06
M7XJ56	RHTO_03737	3.308337815273256e-05	2.803556244050864e-05
M7WNA8	RHTO_04326	2.680242388698151e-05	2.755565523730999e-05
M7WPC7	RHTO_03965	1.2990870277792315e-05	1.2599062139525278e-05
M7WIG9	RHTO_03543	6.412544360382779e-06	6.4897723686285194e-06
M7WR40	RHTO_07893	4.5660098363081215e-06	4.713937470771422e-06
M7WR16	RHTO_07868	1.546389168921726e-05	1.498277930541982e-05
M7X2P0	RHTO_04775	2.172597292941668e-06	2.1413112779656776e-06
M7WXT8	RHTO_03161	4.726550595087468e-05	4.7131075646527074e-05
M7WR01	RHTO_07853	6.6230796928206205e-06	6.0670620169341284e-06
M7XFJ5	RHTO_05461	0.00039343379174816274	0.0006239030083237549
M7XXD2	RHTO_05103	2.34534073310747e-05	2.109598308238534e-05
M7XSC4	RHTO_07480	7.111158417978805e-08	5.927881210888653e-08
M7XM89	RHTO_02139	2.2969223402111771e-07	2.2627800456358883e-07
M7WMX7	RHTO_04427	1.929510002100911e-05	1.752118635110268e-05
M7XA66	RHTO_02577	4.5700500038066935e-05	4.972008051311868e-05
M7WP66	RHTO_04185	0.0001331049132345162	0.0001257438101593066
M7WTN9	RHTO_01922	3.283462046961435e-05	3.026092523610149e-05
M7WZ44	RHTO_07080	5.825382749140286e-06	5.2629196148629735e-06
M7XI84	RHTO_03896	5.30210959226212e-06	5.536855450362254e-06
M7X852	RHTO_04131	5.279702757252083e-06	4.984764185724076e-06
M7XE28	RHTO_01289	4.72156882097195e-06	4.448828749352473e-06
M7X3J1	RHTO_06581	1.6302392405760401e-06	1.4526261010401381e-06
M7XRX0	RHTO_07843	3.458312685210675e-05	3.1377059729141956e-05
M7WME7	RHTO_01329	1.603940487889352e-05	1.7042341336542473e-05
M7WH92	RHTO_04114	1.2565872971617788e-05	1.1814997175100162e-05
M7X560	RHTO_05714	1.6497885189949208e-06	1.6789909999734776e-06
M7WHD4	RHTO_03921	5.175160816292485e-06	5.053770333631613e-06
M7XMJ4	RHTO_01854	3.440742342475066e-05	3.267848045984454e-05
M7WU42	RHTO_01866	2.138768021204786e-06	1.995872949879708e-06
M7XEU6	RHTO_05746	3.4562361856859056e-06	3.0238815449496365e-06
M7WN97	RHTO_04315	1.3730101924194595e-06	1.3478624815157543e-06
M7XRJ6	RHTO_07708	8.57545895769135e-06	8.20842105538841e-06
M7XIE1	RHTO_03967	8.535699669721603e-05	8.113731152307758e-05
M7WN01	RHTO_05162	2.0414575411400466e-06	1.975435408627616e-06
M7WGA7	RHTO_04463	2.6633012021960876e-06	2.7237511063798167e-06
M7XQ01	RHTO_01027	2.3137838766768434e-06	2.318959458088037e-06
M7WRF4	RHTO_02584	0.00018880904536810778	0.00017383363557536995
M7X3I2	RHTO_04839	1.197757542119539e-05	1.1916978586479056e-05
M7X6E8	RHTO_00354	3.865960220070006e-05	3.547593278107662e-05
M7X3N3	RHTO_04890	1.0639889822008204e-05	9.40571833472994e-06
M7XJM1	RHTO_03594	2.725327054452675e-07	2.401317941413505e-07
M7XQH9	RHTO_00592	2.835042314981286e-06	2.921213185828435e-06
M7WK47	RHTO_02483	0.0001744804358065462	0.00016875448589603135
M7WUD3	RHTO_01560	3.1620049605898244e-06	2.9406063910147907e-06
M7XN95	ADK1	1.0071831218988041e-05	9.298930823421315e-06
M7WS17	RHTO_02628	1.0726421154002996e-06	1.109023743960854e-06
M7XK72	RHTO_06248	4.19133236309533e-05	3.675263628877922e-05
M7XB33	RHTO_02232	7.570743601714366e-06	7.637766796303518e-06
M7WV44	RHTO_01367	3.5922890597047816e-05	3.1751122236192415e-05
M7X0X5	RHTO_07025	2.2552697595823362e-05	2.324503644140351e-05
M7XGI7	RHTO_07860	3.9714984592080216e-07	4.153489944410188e-07
M7WU96	RPS0	3.248903045951668e-05	2.677458180505516e-05
M7XRG0	RHTO_08151	0.0002089553736998299	0.00023811348022331194
