uniprot	Gene_names	Xexp_1	Xexp_2
M7WWE2	RHTO_05097	0.00016437431654770348	0.0001434209630748337
M7WXM9	RHTO_07691	2.2248686444660565e-05	2.3403570125581263e-05
M7X3L7	RHTO_05106	0.00014331691259052726	0.00011726699774893433
M7WQZ1	RHTO_07842	4.019434092285061e-05	4.322625384638819e-05
M7X4F3	RHTO_05796	1.2341786204003123e-05	1.2917563893150458e-05
M7XE29	RHTO_06406	1.950669121604142e-05	2.0761463167919423e-05
M7WI96	RHTO_03746	8.194245444231749e-05	8.697834842249629e-05
M7WXB6	RHTO_00789	2.211286699970618e-05	2.011312115939314e-05
M7WWX9	RHTO_07954	0.0001011545215519609	0.00011060331869646135
M7X749	RHTO_00323	3.4065603596854485e-05	3.862945792291719e-05
M7X3Z4	RHTO_02788	6.821357430579828e-05	7.94438190354768e-05
M7X6X3	RHTO_00539	6.768644119161813e-06	7.883479609664596e-06
M7WZ10	RHTO_07648	7.53589004032801e-05	8.545132510462423e-05
M7WKZ9	RHTO_05917	0.0002091400512144434	0.00021489350567998025
M7XNL9	RHTO_03248	2.486113158860853e-05	2.8914985526616683e-05
M7XF42	RHTO_05648	5.5567699459736914e-05	5.423092967485474e-05
M7WHC9	RHTO_03915	3.5791153880832118e-06	3.5422686336508326e-06
M7XHF8	RHTO_04363	5.507715198599603e-05	5.771657434654914e-05
M7XQS8	RHTO_00857	0.00022398814185296264	0.00020954817650013774
M7WQK0	RHTO_08150	0.0001997269006288327	0.0002074435537519565
M7WIJ4	RHTO_03573	1.550132780389207e-05	1.5091267092425293e-05
M7WXX4	RHTO_03206	4.654467709329766e-05	4.798897762829826e-05
M7WKL7	RHTO_05838	2.090870585205582e-05	2.0063554491645915e-05
M7XJ40	RHTO_06973	5.123464408133907e-06	5.953928009185341e-06
M7X8C7	RHTO_03963	0.0002616595727461444	0.00031144937919155553
M7XN51	RHTO_03062	4.1785875563450105e-05	4.061459373085943e-05
M7XAS2	RHTO_02455	0.0002974326303093279	0.00030615888866786543
M7X113	RHTO_06010	0.00027068589872097557	0.00027931514346921045
M7WYP6	RHTO_00155	0.00011409233036842648	0.00014075614115523718
M7WVL3	RHTO_04816	0.0001379633955237137	0.00012790396951922286
M7X0F2	RPS1	7.311715651815033e-05	7.151011372798548e-05
