Entry	Gene names_1	Gene names_2	system
M7XEQ0	RHTO_01048	RHTO_01048	ETC
M7WZ93	RHTO_00390	RHTO_00390	ETC
M7WMJ7	RHTO_05208	RHTO_05208	ETC
M7WD99	RHTO_06415	RHTO_06415	ETC
M7WI20	RHTO_03666	RHTO_03666	ETC
M7WUI0	RHTO_01605	RHTO_01605	ETC
M7WWJ6	RHTO_00755	RHTO_00755	ETC
M7X3R7	RHTO_04910	RHTO_04910	ETC
M7XKA8	RHTO_06298	RHTO_06298	ETC
M7XKJ8	RHTO_04577	RHTO_04577	ETC
M7XMJ4	RHTO_01854	RHTO_01854	ETC
M7WGF6	RHTO_04291	RHTO_04291	ETC
M7XPE3	RHTO_00177	RHTO_00177	ETC
M7X560	RHTO_05714	RHTO_05714	ETC
M7X6W8	RHTO_00534	RHTO_00534	ETC
M7XF32	RHTO_00723	RHTO_00723	ETC
M7XJJ4	RHTO_06068	RHTO_06068	ETC
M7WNN8	RHTO_00906	RHTO_00906	ETC
M7XEY0	RHTO_00668	RHTO_00668	ETC
M7XUQ1	RHTO_07027	RHTO_07027	ETC
M7XFR0	RHTO_08027	RHTO_08027	TCA cycle
M7WPA0	RHTO_00641	RHTO_00641	TCA cycle
M7X3P9	RHTO_06555	RHTO_06555	TCA cycle
M7WKL7	RHTO_05838	RHTO_05838	TCA cycle
M7WSZ7	RHTO_02062	RHTO_02062	TCA cycle
M7WN91	RHTO_04310	RHTO_04310	TCA cycle
M7X6W7	RHTO_04425	RHTO_04425	TCA cycle
M7XN51	RHTO_03062	RHTO_03062	TCA cycle
M7X5K1	RHTO_03098	RHTO_03098	TCA cycle
M7XJI6	RHTO_03559	RHTO_03559	TCA cycle
M7XKX2	RHTO_04708	RHTO_04708	TCA cycle
M7WTN9	RHTO_01922	RHTO_01922	TCA cycle
M7XCG4	RHTO_01930	RHTO_01930	TCA cycle
M7X080	RHTO_07249	RHTO_07249	TCA cycle
M7XS16	RHTO_07889	RHTO_07889	TCA cycle
M7X5F4	RHTO_03043	RHTO_03043	glycolysis
M7XRQ3	RHTO_07773	RHTO_07773	glycolysis
M7X749	RHTO_00323	RHTO_00323	glycolysis
M7XYF6	RHTO_03046	RHTO_03046	glycolysis
M7WNZ9	RHTO_04058	RHTO_04058	glycolysis
M7WNF8	RHTO_01292	RHTO_01292	glycolysis
M7WI96	RHTO_03746	RHTO_03746	glycolysis
M7WR40	RHTO_07893	RHTO_07893	glycolysis
M7X0P4	RHTO_06925	RHTO_06925	glycolysis
M7X413	RHTO_02808	RHTO_02808	glycolysis
M7XCY6	RHTO_01709	RHTO_01709	glycolysis
M7WKF8	RHTO_02312	RHTO_02312	glycolysis
M7WPA9	RHTO_04225	RHTO_04225	glycolysis
M7XGI7	RHTO_07860	RHTO_07860	glycolysis
M7XUZ4	RHTO_06072	RHTO_06072	glycolysis
M7X0J8	RHTO_06870	RHTO_06870	glycolysis
M7X6G2	RHTO_00098	RHTO_00098	glycolysis
M7X6G2	RHTO_00098	RHTO_00098	TCA cycle
M7XSC4	RHTO_07480	RHTO_07480	glycolysis
M7X6S3	RHTO_00494	RHTO_00494	glycolysis
M7WYL9	RHTO_07820	RHTO_07820	glycolysis
M7X689	RHTO_00033	RHTO_00033	glycolysis
M7XL58	RHTO_04793	RHTO_04793	glycolysis
M7XSI3	RHTO_07535	RHTO_07535	glycolysis
M7WTV5	RHTO_01766	RHTO_01766	glycolysis
M7WIG9	RHTO_03543	RHTO_03543	glycolysis
M7WTI0	RHTO_01852	RHTO_01852	glycolysis
M7WZJ7	RHTO_07250	RHTO_07250	glycolysis
M7XMA7	RHTO_01754	RHTO_01754	glycolysis
M7WUI5	RHTO_01610	RHTO_01610	glycolysis
M7WME7	RHTO_01329	RHTO_01329	glycolysis
M7Y042	RHTO_00391	RHTO_00391	glycolysis
M7WLP6	RHTO_05680	RHTO_05680	TCA cycle
M7X3G0	RHTO_05036	RHTO_05036	glycolysis
M7X5F4	RHTO_03043	RHTO_03043	PPP
M7XYF6	RHTO_03046	RHTO_03046	PPP
M7WNZ9	RHTO_04058	RHTO_04058	PPP
M7X6S3	RHTO_00494	RHTO_00494	PPP
M7WYL9	RHTO_07820	RHTO_07820	PPP
M7WTV5	RHTO_01766	RHTO_01766	PPP
M7WWW0	RHTO_07939	RHTO_07939	PPP
M7WZA8	RHTO_07507	RHTO_07507	PPP
M7WR01	RHTO_07853	RHTO_07853	PPP
M7X3Z4	RHTO_02788	RHTO_02788	PPP
M7XZ45	RHTO_00011	RHTO_00011	PPP
M7XKF0	RHTO_02591	RHTO_02591	PPP
M7XHB5	RHTO_04328	RHTO_04328	PPP
M7WUP8	RHTO_06311	RHTO_06311	PPP
M7XEA2	RHTO_05984	RHTO_05984	PPP
M7X0R7	RHTO_06955	RHTO_06955	PPP
M7XNL9	RHTO_03248	RHTO_03248	PPP
M7WY13	RHTO_03251	RHTO_03251	PPP
M7WGA7	RHTO_04463	RHTO_04463	PPP
M7WSJ5	RHTO_02466	RHTO_02466	Ribosome
M7XN69	RHTO_01698	RHTO_01698	Ribosome
M7WG90	RHTO_04443	RHTO_04443	Ribosome
M7WH92	RHTO_04114	RHTO_04114	Ribosome
M7WI49	RHTO_03696	RHTO_03696	Ribosome
M7WIC0	RHTO_03468	RHTO_03468	Ribosome
M7WJP1	RHTO_07683	RHTO_07683	Ribosome
M7WJY9	RHTO_02403	RHTO_02403	Ribosome
M7WK47	RHTO_02483	RHTO_02483	Ribosome
M7WK67	RHTO_02144	RHTO_02144	Ribosome
M7WKI6	RHTO_02261	RHTO_02261	Ribosome
M7WKZ9	RHTO_05917	RHTO_05917	Ribosome
M7WLA8	RHTO_05573	RHTO_05573	Ribosome
M7WLM0	RHTO_01873	RHTO_01873	Ribosome
M7WLQ9	RHTO_05368	RHTO_05368	Ribosome
M7WLT0	RHTO_01933	RHTO_01933	Ribosome
M7WM05	RHTO_05617	RHTO_05617	Ribosome
M7WMA5	RHTO_01697	RHTO_01697	Ribosome
M7WMA7	RHTO_05123	RHTO_05123	Ribosome
M7WNA8	RHTO_04326	RHTO_04326	Ribosome
M7WNR0	RHTO_04216	RHTO_04216	Ribosome
M7WNW6	RHTO_04325	RHTO_04325	Ribosome
M7WNY9	RHTO_04048	RHTO_04048	Ribosome
M7WP17	RHTO_01016	RHTO_01016	Ribosome
M7WPC7	RHTO_03965	RHTO_03965	Ribosome
M7WPD1	RHTO_03970	RHTO_03970	Ribosome
M7WPZ9	RHTO_03665	RHTO_03665	Ribosome
M7WQ42	RHTO_03705	RHTO_03705	Ribosome
M7WQK0	RHTO_08150	RHTO_08150	Ribosome
M7WQK2	RHTO_03699	RHTO_03699	Ribosome
M7WQP6	RHTO_03740	RHTO_03740	Ribosome
M7WR15	RHTO_03551	RHTO_03551	Ribosome
M7WR16	RHTO_07868	RHTO_07868	Ribosome
M7WR90	RHTO_03319	RHTO_03319	Ribosome
M7WRF4	RHTO_02584	RHTO_02584	Ribosome
M7WRM5	RHTO_02644	RHTO_02644	Ribosome
M7WSK1	RHTO_07286	RHTO_07286	Ribosome
M7WSR6	RHTO_02296	RHTO_02296	Ribosome
M7WT03	RHTO_02067	RHTO_02067	Ribosome
M7WT18	RHTO_06766	RHTO_06766	Ribosome
M7WTL5	RHTO_06981	RHTO_06981	Ribosome
M7WTL8	RHTO_06986	RHTO_06986	Ribosome
M7WTR2	RHTO_02116	RHTO_02116	Ribosome
M7WTW0	RHTO_01771	RHTO_01771	Ribosome
M7WTY1	RHTO_01596	RHTO_01596	Ribosome
M7WU96	RHTO_06166	RHTO_06166	Ribosome
M7WUI8	RHTO_06236	RHTO_06236	Ribosome
M7WUN0	RHTO_01398	RHTO_01398	Ribosome
M7WUX7	RHTO_01523	RHTO_01523	Ribosome
M7WV44	RHTO_01367	RHTO_01367	Ribosome
M7WVB6	RHTO_04721	RHTO_04721	Ribosome
M7WVL3	RHTO_04816	RHTO_04816	Ribosome
M7WVU2	RHTO_00955	RHTO_00955	Ribosome
M7WVZ3	RHTO_01240	RHTO_01240	Ribosome
M7WWX9	RHTO_07954	RHTO_07954	Ribosome
M7WXQ8	RHTO_03125	RHTO_03125	Ribosome
M7WXT3	RHTO_07756	RHTO_07756	Ribosome
M7WXT8	RHTO_03161	RHTO_03161	Ribosome
M7WXU4	RHTO_07771	RHTO_07771	Ribosome
M7WYK1	RHTO_00125	RHTO_00125	Ribosome
M7WYS8	RHTO_07886	RHTO_07886	Ribosome
M7WYV6	RHTO_00230	RHTO_00230	Ribosome
M7WYV8	RHTO_07911	RHTO_07911	Ribosome
M7WZ67	RHTO_00360	RHTO_00360	Ribosome
M7WZB1	RHTO_00410	RHTO_00410	Ribosome
M7X0F2	RHTO_06815	RHTO_06815	Ribosome
M7X0J9	RHTO_07364	RHTO_07364	Ribosome
M7X0L1	RHTO_07374	RHTO_07374	Ribosome
M7X0V6	RHTO_06784	RHTO_06784	Ribosome
M7X113	RHTO_06010	RHTO_06010	Ribosome
M7X1F6	RHTO_06994	RHTO_06994	Ribosome
M7X1K0	RHTO_06190	RHTO_06190	Ribosome
M7X2E5	RHTO_06249	RHTO_06249	Ribosome
M7X2K5	RHTO_04740	RHTO_04740	Ribosome
M7X2T0	RHTO_04593	RHTO_04593	Ribosome
M7X338	RHTO_04709	RHTO_04709	Ribosome
M7X3A0	RHTO_06633	RHTO_06633	Ribosome
M7X3D9	RHTO_05011	RHTO_05011	Ribosome
M7X3I2	RHTO_04839	RHTO_04839	Ribosome
M7X3N3	RHTO_04890	RHTO_04890	Ribosome
M7X3X5	RHTO_04970	RHTO_04970	Ribosome
M7X428	RHTO_05035	RHTO_05035	Ribosome
M7X4B1	RHTO_02676	RHTO_02676	Ribosome
M7X4J0	RHTO_05841	RHTO_05841	Ribosome
M7X4K7	RHTO_05861	RHTO_05861	Ribosome
M7X5D5	RHTO_05447	RHTO_05447	Ribosome
M7X5J4	RHTO_05517	RHTO_05517	Ribosome
M7X5L6	RHTO_03113	RHTO_03113	Ribosome
M7X6E8	RHTO_00354	RHTO_00354	Ribosome
M7X6J9	RHTO_00128	RHTO_00128	Ribosome
M7X6K7	RHTO_04481	RHTO_04481	Ribosome
M7X6Q2	RHTO_00469	RHTO_00469	Ribosome
M7X7F7	RHTO_00453	RHTO_00453	Ribosome
M7X842	RHTO_04116	RHTO_04116	Ribosome
