Rxn name	Formula	Gene-reaction association	LB	UB	Objective
r_0006	s_1543  -> s_0004 + s_0794 + s_1538 	RHTO_00515 or RHTO_07323	  0.00	1000.00	  0.00
r_0226	s_0397 + 3 s_0794 + s_1326  -> s_0437 + 2 s_0799 + s_0807 		  0.00	1000.00	  0.00
r_0263	s_1445 + s_1480  -> s_0475 + s_0530 + s_0795 	RHTO_01531	  0.00	1000.00	  0.00
r_0264	s_0817 + s_1445  -> s_0478 + s_0530 + s_0795 	RHTO_01531	  0.00	1000.00	  0.00
r_0265	s_1366 + s_1480  -> s_0481 + s_0530 + s_0795 	RHTO_01531	  0.00	1000.00	  0.00
r_0266	s_0817 + s_1366  -> s_0484 + s_0530 + s_0795 	RHTO_01531	  0.00	1000.00	  0.00
r_0357	s_0309 + 3 s_0803  -> 6 s_0794 + s_1156 + 3 s_1322 	RHTO_02997	  0.00	1000.00	  0.00
r_0439	2 s_0709 + 1.266 s_0799 + s_1535  -> 2 s_0710 + 2.532 s_0794 + s_1537 		  0.00	1000.00	  0.00
r_0478	s_0434 + s_0999 + s_1590  -> s_0423 + s_0633 + s_0747 	RHTO_04465	  0.00	1000.00	  0.00
r_0539	s_0434 + s_1006 + s_1594  -> s_0423 + s_0633 + s_0832 	RHTO_00221	  0.00	1000.00	  0.00
r_0540	s_0437 + s_1008 + s_1595  -> s_0424 + s_0636 + s_0833 	RHTO_00221	  0.00	1000.00	  0.00
r_0920	s_0507 + s_1366  -> s_0484 	RHTO_00381	  0.00	1000.00	  0.00
r_0992	s_0373 + s_1039  -> s_0529 + s_1234 	( RHTO_01443 and RHTO_06233 and RHTO_07223 ) or ( RHTO_01443 and RHTO_06233 )	  0.00	1000.00	  0.00
r_1028	s_0434 + s_0803 + s_1473  -> s_0394 + s_0794 + s_1322 + s_1474 	RHTO_05437	  0.00	1000.00	  0.00
r_1085	s_0434 + s_0794 + s_0803  -> s_0394 + 2 s_0797 + s_1322 		  0.00	1000.00	  0.00
r_1086	s_0434 + s_0794 + s_0803  -> s_0394 + 2 s_0802 + s_1322 		  0.00	1000.00	  0.00
r_1096	s_0029  -> s_0028 		  0.00	1000.00	  0.00
r_1097	s_0035  -> s_0036 		  0.00	1000.00	  0.00
r_1099	s_0177 + s_0180  -> s_0176 + s_0182 	RHTO_03731	  0.00	1000.00	  0.00
r_1100	s_0212  -> s_0213 		  0.00	1000.00	  0.00
r_1101	s_0736 + s_0796  -> s_0734 + s_0794 	RHTO_00393 or RHTO_00398 or RHTO_01344 or RHTO_01346 or RHTO_03793 or RHTO_07341 or RHTO_07915	  0.00	1000.00	  0.00
r_1102	s_0316 + s_0796  -> s_0315 + s_0794 	RHTO_05452	  0.00	1000.00	  0.00
