prot_IDs	usage
prot_M7WCH0_exchange	0
prot_M7WD54_exchange	0
prot_M7WD99_exchange	0.143703847294897
prot_M7WDC1_exchange	0.0423091701858009
prot_M7WDH6_exchange	0.116854520900484
prot_M7WDP6_exchange	0
prot_M7WEF4_exchange	0.00707181964297282
prot_M7WEG7_exchange	0.0145429356958827
prot_M7WEJ4_exchange	0
prot_M7WEV1_exchange	0
prot_M7WFB4_exchange	1
prot_M7WFI6_exchange	0
prot_M7WFJ0_exchange	0.115320253901099
prot_M7WFK5_exchange	0
prot_M7WFU6_exchange	0
prot_M7WG58_exchange	0
prot_M7WGA7_exchange	0
prot_M7WGT6_exchange	0
prot_M7WGU3_exchange	0
prot_M7WH87_exchange	0
prot_M7WHA9_exchange	0
prot_M7WHB3_exchange	0
prot_M7WHC9_exchange	0
prot_M7WHN9_exchange	0.159717869600076
prot_M7WHV7_exchange	0.0289835485934586
prot_M7WI20_exchange	0.143703847294897
prot_M7WI54_exchange	0
prot_M7WI96_exchange	0.0230246261080286
prot_M7WIC9_exchange	0
prot_M7WIG9_exchange	0.109224299826116
prot_M7WIR6_exchange	0
prot_M7WJ06_exchange	0
prot_M7WJ30_exchange	0
prot_M7WJI1_exchange	0.758140132663187
prot_M7WJN6_exchange	0
prot_M7WJX6_exchange	0
prot_M7WK31_exchange	0.0192220811504176
prot_M7WK50_exchange	0
prot_M7WKC4_exchange	0.050201795414794
prot_M7WKC7_exchange	0
prot_M7WKF8_exchange	0.0518546091116079
prot_M7WKH8_exchange	0
prot_M7WKI7_exchange	0.00150557791181235
prot_M7WKL7_exchange	0
prot_M7WKR4_exchange	0.154727301555258
prot_M7WKX0_exchange	0.87146938755162
prot_M7WKZ4_exchange	0.127474391776496
prot_M7WL18_exchange	0.118337314077328
prot_M7WL19_exchange	0
prot_M7WL24_exchange	0.266508319303801
prot_M7WL95_exchange	0.0410861289222331
prot_M7WLD5_exchange	0.0431542753866608
prot_M7WLI2_exchange	6.64209918717911e-05
prot_M7WLP6_exchange	0
prot_M7WLQ0_exchange	1
prot_M7WLR9_exchange	0
prot_M7WLS9_exchange	0
prot_M7WLV7_exchange	0
prot_M7WLX6_exchange	0
prot_M7WLZ2_exchange	0
prot_M7WM30_exchange	0.169371726513828
prot_M7WMC4_exchange	0
prot_M7WMD7_exchange	0
prot_M7WME7_exchange	0
prot_M7WMF3_exchange	0
prot_M7WMG1_exchange	0
prot_M7WMJ7_exchange	0.143703847294897
prot_M7WMR9_exchange	0.0990803214808095
prot_M7WMT2_exchange	1
prot_M7WMU5_exchange	0.0684957353728193
prot_M7WMY0_exchange	0.0341158384891591
prot_M7WMY6_exchange	0
prot_M7WMZ5_exchange	0
prot_M7WN54_exchange	0.0917701229429837
prot_M7WN91_exchange	0
prot_M7WN97_exchange	0.00502079578342091
prot_M7WNB5_exchange	1
prot_M7WNF8_exchange	1
prot_M7WNN8_exchange	0.00139144667324991
prot_M7WNN9_exchange	0.0556234358135564
prot_M7WNY8_exchange	0.0206399970261669
prot_M7WNZ9_exchange	0.00417515280534356
prot_M7WP35_exchange	0.588169410660758
prot_M7WP44_exchange	0.267207581538678
prot_M7WP55_exchange	0
prot_M7WPA0_exchange	0
prot_M7WPA3_exchange	0
prot_M7WPA9_exchange	0
prot_M7WPB7_exchange	0
prot_M7WPU4_exchange	0
prot_M7WPW0_exchange	0.110419609089517
prot_M7WPZ4_exchange	0
prot_M7WQ31_exchange	0.137587030386131
prot_M7WQ32_exchange	0.00774129429756416
prot_M7WQ73_exchange	1
prot_M7WQ86_exchange	0.00190287136867317
prot_M7WQ90_exchange	0.0038816330667207
prot_M7WQ95_exchange	0
prot_M7WQA8_exchange	1
prot_M7WQC9_exchange	0.000780225955529228
prot_M7WQF1_exchange	0
