protein_IDs	previous_values	modified_values	flex_Mass
prot_M7WKX0	2.1343849615219e-05	3.06474749926927e-05	0.000408685655022749
prot_M7WMT2	4.72058865142077e-06	1.3199874077476e-05	0.000656010600886403
prot_M7WQ73	1.13644469683442e-06	1.13644469683442e-05	0.000889252280971672
prot_M7WRD1	3.48292091167299e-07	5.0011053233677e-07	1.35404620766122e-05
prot_M7WSH3	1.82403010075759e-06	1.99016147548695e-06	7.91232403241165e-06
prot_M7WUY3	7.69577878733769e-07	9.66106601272378e-07	1.33122641133105e-05
prot_M7XIT2	7.8281821527476e-06	1.12404549529487e-05	0.000315605990840707
prot_M7XJ70	1.18804902243426e-05	1.70591491053905e-05	0.000277819823711112
prot_M7XKF0	3.1337637369589e-06	3.98266736980648e-05	0.00145362852259377
prot_M7XRP3	7.88466769993504e-07	1.13215472320874e-06	1.43442394636201e-05
prot_M7XVW7	5.47718585822513e-05	7.51033971898955e-05	0.000765285415968695
