FLUXES:
r_0006	1,6-beta-glucan synthase	UDP-D-glucose[c] => (1->6)-beta-D-glucan[ce] + H+[c] + UDP[c]	0.016456
r_0226	ATP synthase	ADP[m] + 3 H+[c] + phosphate[m] => ATP[m] + 2 H+[m] + H2O[m]	13.728
r_0263	ceramide-1 synthase (24C)	sphinganine[er] + tetracosanoyl-CoA[er] => ceramide-1 (C24)[er] + coenzyme A[er] + H+[er]	0
r_0264	ceramide-1 synthase (26C)	hexacosanoyl-CoA[er] + sphinganine[er] => ceramide-1 (C26)[er] + coenzyme A[er] + H+[er]	0
r_0265	ceramide-2 synthase (24C)	phytosphingosine[er] + tetracosanoyl-CoA[er] => ceramide-2 (C24)[er] + coenzyme A[er] + H+[er]	0
r_0266	ceramide-2 synthase (26C)	hexacosanoyl-CoA[er] + phytosphingosine[er] => ceramide-2 (C26)[er] + coenzyme A[er] + H+[er]	0
r_0357	diphosphoinositol-1,3,4,6-tetrakisphosphate diphosphohydrolase	5,6-bis(diphospho)-1D-myo-inositol tetrakisphosphate[c] + 3 H2O[c] => 6 H+[c] + myo-inositol 1,3,4,5,6-pentakisphosphate[c] + 3 phosphate[c]	0
r_0439	ubiquinol:ferricytochrome c reductase	2 ferricytochrome c[m] + 1.266 H+[m] + ubiquinol-6[m] => 2 ferrocytochrome c[m] + 2.532 H+[c] + ubiquinone-6[m]	5.4822
r_0478	glutaminyl-tRNA synthetase	ATP[c] + L-glutamine[c] + tRNA(Gln)[c] => AMP[c] + diphosphate[c] + Gln-tRNA(Gln)[c]	0.0085393
r_0539	histidyl-tRNA synthetase	ATP[c] + L-histidine[c] + tRNA(His)[c] => AMP[c] + diphosphate[c] + His-tRNA(His)[c]	0.0052117
r_0540	histidyl-tRNA synthetase	ATP[m] + L-histidine[m] + tRNA(His)[m] => AMP[m] + diphosphate[m] + His-tRNA(His)[m]	0
r_0920	phytoceramidase	cerotic acid[er] + phytosphingosine[er] => ceramide-2 (C26)[er]	0
r_0992	serine O-acetyltransferase	acetyl-CoA[c] + L-serine[c] => coenzyme A[c] + O-acetyl-L-serine[c]	0
r_1028	taurcholate via ABC system	ATP[c] + H2O[c] + taurocholic acid[c] => ADP[c] + H+[c] + phosphate[c] + taurocholic acid[v]	0
r_1085	V-ATPase, Golgi	ATP[c] + H+[c] + H2O[c] => ADP[c] + 2 H+[g] + phosphate[c]	0
r_1086	V-ATPase, vacuole	ATP[c] + H+[c] + H2O[c] => ADP[c] + 2 H+[v] + phosphate[c]	0
r_1096	(R)-mevalonate transport	(R)-mevalonate[e] => (R)-mevalonate[c]	0
r_1097	(R,R)-butanediol transport	(R,R)-2,3-butanediol[c] => (R,R)-2,3-butanediol[e]	0
r_1099	2-oxoadipate and 2-oxoglutarate transport	2-oxoadipic acid[m] + 2-oxoglutarate[c] => 2-oxoadipic acid[c] + 2-oxoglutarate[m]	0.01035
r_1100	3-hexaprenyl-4,5-dihydroxybenzoate transport	3-hexaprenyl-4,5-dihydroxybenzoic acid[c] => 3-hexaprenyl-4,5-dihydroxybenzoic acid[m]	0
r_1101	4-aminobutyrate transport	gamma-aminobutyrate[e] + H+[e] => gamma-aminobutyrate[c] + H+[c]	0
r_1102	5-aminolevulinate transport	5-aminolevulinate[e] + H+[e] => 5-aminolevulinate[c] + H+[c]	0
r_1103	5-formyltetrahydrofolic acid transport	5-formyltetrahydrofolic acid[e] => 5-formyltetrahydrofolic acid[c]	0
r_1104	8-Amino-7-oxononanoate transport	8-amino-7-oxononanoate[e] + H+[e] => 8-amino-7-oxononanoate[c] + H+[c]	0
r_1106	acetate transport	acetate[c] => acetate[e]	0
r_1107	acetic ester transport	ethyl acetate[c] => ethyl acetate[e]	0
r_1108	adenine transport	adenine[e] + H+[e] => adenine[c] + H+[c]	0
r_1109	adenosine transport	adenosine[e] + H+[e] => adenosine[c] + H+[c]	0
r_1110	ADP/ATP transporter	ADP[c] + ATP[m] => ADP[m] + ATP[c]	14.3061
r_1111	ADP/ATP transporter	ADP[p] + ATP[c] + H+[p] => ADP[c] + ATP[p] + H+[c]	0
r_1112	AKG transporter, mitochonrial	2-oxoglutarate[c] + citrate[m] => 2-oxoglutarate[m] + citrate[c]	0
r_1113	allantoate uniport	allantoate[e] => allantoate[c]	0
r_1114	allantoin uniport	allantoin[e] => allantoin[c]	0
r_1115	ammonia transport	ammonium[e] => ammonium[c]	0.36711
r_1116	AMP/ATP transporter	AMP[p] + ATP[c] + H+[p] => AMP[c] + ATP[p] + H+[c]	0
r_1118	aspartate-glutamate transporter	L-aspartate[m] + L-glutamate[c] => L-aspartate[c] + L-glutamate[m]	2.4829
r_1119	biotin uptake	biotin[e] + H+[e] => biotin[c] + H+[c]	0
r_1120	carnithine-acetylcarnithine carrier	(R)-carnitine[m] + O-acetylcarnitine[c] => (R)-carnitine[c] + O-acetylcarnitine[m]	0
r_1121	ceramide-2' (sphinganine:n-C24:0OH) transport	ceramide-2' (C24)[er] => ceramide-2' (C24)[g]	0
r_1122	ceramide-2' (sphinganine:n-C26:0OH) transport	ceramide-2' (C26)[er] => ceramide-2' (C26)[g]	0
r_1123	ceramide-3 (Phytosphingosine:n-C24:0OH) transport	ceramide-3 (C24)[er] => ceramide-3 (C24)[g]	0
r_1124	ceramide-3 (Phytosphingosine:n-C26:0OH) transport	ceramide-3 (C26)[er] => ceramide-3 (C26)[g]	0
r_1125	choline transport	choline[e] + H+[e] => choline[c] + H+[c]	0
r_1129	coenzyme A transport	coenzyme A[c] => coenzyme A[m]	1.145e-17
r_1130	CTP transport	CMP[m] + CTP[c] + H+[c] => CMP[c] + CTP[m] + H+[m]	3.0432e-05
r_1131	CTP/CMP antiport	CMP[m] + CTP[c] + 2 H+[c] => CMP[c] + CTP[m] + 2 H+[m]	0
r_1132	cytidine transport	cytidine[e] + H+[e] => cytidine[c] + H+[c]	0
r_1133	cytosine transport	cytosine[e] + H+[e] => cytosine[c] + H+[c]	0
r_1134	D-fructose transport	D-fructose[e] + H+[e] => D-fructose[c] + H+[c]	0
r_1135	D-galactose transport	D-galactose[e] + H+[e] => D-galactose[c] + H+[c]	0
r_1136	D-lactate transport	(R)-lactate[e] + H+[e] => (R)-lactate[c] + H+[c]	0
r_1137	D-lactate transport	(R)-lactate[c] + H+[c] => (R)-lactate[m] + H+[m]	0
r_1138	D-lactate/pyruvate antiport	(R)-lactate[c] + pyruvate[m] => (R)-lactate[m] + pyruvate[c]	0
r_1139	D-mannose transport	D-mannose[e] + H+[e] => D-mannose[c] + H+[c]	0
r_1149	ethanolamine transport	ethanolamine[e] => ethanolamine[c]	0
r_1151	fadH2 transport	FADH2[m] => FADH2[c]	0
r_1165	GDP-mannose antiport	GDP-alpha-D-mannose[c] + GMP[g] => GDP-alpha-D-mannose[g] + GMP[c]	0
r_1166	glucose transport	D-glucose[e] => D-glucose[c]	0
r_1167	glutathione transport	glutathione[e] => glutathione[c]	0
r_1169	glycero-3-phospho-1-inositol transport	1-(sn-glycero-3-phospho)-1D-myo-inositol[e] => 1-(sn-glycero-3-phospho)-1D-myo-inositol[c]	0
r_1170	glycero-3-phosphocholine transport	sn-glycero-3-phosphocholine[e] => sn-glycero-3-phosphocholine[c]	0
r_1171	glycerol transport	glycerol[e] + H+[e] => glycerol[c] + H+[c]	0
r_1172	glycerol transport via channel	glycerol[c] => glycerol[e]	0
r_1173	glycine transport	H+[e] + L-glycine[e] => H+[c] + L-glycine[c]	0
r_1174	glycogen vacuolar 'transport' via autophagy	glycogen[c] => glycogen[v]	0
r_1175	GTP/GDP translocase	GDP[m] + GTP[c] + H+[c] => GDP[c] + GTP[m] + H+[m]	0
r_1176	guanine transport	guanine[e] + H+[e] => guanine[c] + H+[c]	0
r_1177	inositol transport	H+[e] + myo-inositol[e] => H+[c] + myo-inositol[c]	0
r_1178	iron (II) transport	iron(2+)[e] => iron(2+)[c]	0
r_1179	iron (II) transport	iron(2+)[c] => iron(2+)[m]	0
r_1180	isoamyl acetate transport	isoamyl acetate[c] => isoamyl acetate[e]	0
r_1181	isobutyl acetate transport	isobutyl acetate[c] => isobutyl acetate[e]	0
r_1182	isopentenyl diphosphate transport	isopentenyl diphosphate[c] => isopentenyl diphosphate[m]	0
r_1183	L-alanine transport	H+[e] + L-alanine[e] => H+[c] + L-alanine[c]	0
r_1184	L-arganine transport	H+[e] + L-arginine[e] => H+[c] + L-arginine[c]	0
r_1185	L-arganine transport	H+[v] + L-arginine[c] => H+[c] + L-arginine[v]	0
r_1186	L-asparagine transport	H+[e] + L-asparagine[e] => H+[c] + L-asparagine[c]	0
r_1187	L-asparagine transport	H+[v] + L-asparagine[c] => H+[c] + L-asparagine[v]	0
r_1188	L-aspartate transport	H+[v] + L-asparagine[v] => H+[c] + L-asparagine[c]	0
r_1189	L-aspartate transport	H+[v] + L-aspartate[v] => H+[c] + L-aspartate[c]	0
r_1190	L-aspartate transport	H+[e] + L-aspartate[e] => H+[c] + L-aspartate[c]	0
r_1191	L-carnitine transport	(R)-carnitine[e] => (R)-carnitine[c]	0
r_1192	L-cystine transport	H+[e] + L-cysteine[e] => H+[c] + L-cysteine[c]	0
r_1193	L-cystine transport	H+[v] + L-cystine[v] => H+[c] + L-cystine[c]	0
r_1194	L-glutamate transport	L-glutamate[c] => L-glutamate[m]	0.080955
r_1195	L-glutamate transport	H+[v] + L-glutamate[v] => H+[c] + L-glutamate[c]	0
r_1196	L-glutamate transport	H+[e] + L-glutamate[e] => H+[c] + L-glutamate[c]	0
r_1197	L-glutamine transport	H+[v] + L-glutamine[c] => H+[c] + L-glutamine[v]	0
r_1198	L-glutamine transport	H+[v] + L-glutamine[v] => H+[c] + L-glutamine[c]	0
r_1199	L-glutamine transport	H+[e] + L-glutamine[e] => H+[c] + L-glutamine[c]	0
r_1200	L-histidine transport, vacuolar	H+[v] + L-histidine[c] => H+[c] + L-histidine[v]	0
r_1201	L-histidine transport	H+[e] + L-histidine[e] => H+[c] + L-histidine[c]	0
r_1202	L-isoleucine transport	L-isoleucine[v] => L-isoleucine[c]	0
r_1203	L-isoleucine transport	H+[v] + L-isoleucine[c] => H+[c] + L-isoleucine[v]	0
r_1204	L-isoleucine transport	H+[v] + L-isoleucine[v] => H+[c] + L-isoleucine[c]	0
r_1205	L-isoleucine transport	H+[e] + L-isoleucine[e] => H+[c] + L-isoleucine[c]	0
r_1206	L-lactate transport	(S)-lactate[c] => (S)-lactate[m]	0
r_1207	L-lactate transport	(S)-lactate[e] + H+[e] => (S)-lactate[c] + H+[c]	0
r_1208	L-leucine transport, vacuoluar	L-leucine[v] => L-leucine[c]	0
r_1209	L-leucine transport, vacuoluar	H+[v] + L-leucine[c] => H+[c] + L-leucine[v]	0
r_1210	L-leucine transport, vacuoluar	H+[v] + L-leucine[v] => H+[c] + L-leucine[c]	0
r_1211	L-leucine transport	H+[e] + L-leucine[e] => H+[c] + L-leucine[c]	0
r_1212	L-lysine transport	H+[v] + L-lysine[c] => H+[c] + L-lysine[v]	0
r_1213	L-lysine transport	H+[e] + L-lysine[e] => H+[c] + L-lysine[c]	0
r_1214	L-methionine transport	H+[e] + L-methionine[e] => H+[c] + L-methionine[c]	0
r_1215	L-phenylalanine transport	H+[e] + L-phenylalanine[e] => H+[c] + L-phenylalanine[c]	0
r_1216	L-proline transport	H+[e] + L-proline[e] => H+[c] + L-proline[c]	0
r_1217	L-serine transport	H+[e] + L-serine[e] => H+[c] + L-serine[c]	0
r_1218	L-threonine transport	H+[e] + L-threonine[e] => H+[c] + L-threonine[c]	0
