prot_IDs	usage
prot_M7WCH0_exchange	0
prot_M7WD54_exchange	0
prot_M7WD99_exchange	0.195864890905493
prot_M7WDC1_exchange	0.0507964363714029
prot_M7WDH6_exchange	0.140404462054284
prot_M7WDP6_exchange	0
prot_M7WEF4_exchange	0.00849671562965151
prot_M7WEG7_exchange	0.0174871796038311
prot_M7WEJ4_exchange	0
prot_M7WEV1_exchange	0.000290061639999044
prot_M7WFB4_exchange	1
prot_M7WFI6_exchange	0
prot_M7WFJ0_exchange	0.138363881825034
prot_M7WFK5_exchange	0
prot_M7WFU6_exchange	0
prot_M7WG58_exchange	0.00187384894728032
prot_M7WGA7_exchange	0
prot_M7WGT6_exchange	4.72555390194639e-05
prot_M7WGU3_exchange	0
prot_M7WH87_exchange	0
prot_M7WHA9_exchange	1
prot_M7WHB3_exchange	1.82072553466881e-05
prot_M7WHC9_exchange	0
prot_M7WHN9_exchange	0.149503858787356
prot_M7WHV7_exchange	0.0514509184943825
prot_M7WI20_exchange	0.195864890905493
prot_M7WI54_exchange	0
prot_M7WI96_exchange	0.036287669324341
prot_M7WIC9_exchange	0
prot_M7WIG9_exchange	0.146371146199711
prot_M7WIR6_exchange	0
prot_M7WJ06_exchange	0
prot_M7WJ30_exchange	0
prot_M7WJI1_exchange	1
prot_M7WJN6_exchange	0
prot_M7WJX6_exchange	0
prot_M7WK31_exchange	0.0200632272080158
prot_M7WK50_exchange	0
prot_M7WKC4_exchange	0.0522958688470292
prot_M7WKC7_exchange	0
prot_M7WKF8_exchange	0.0385353816793887
prot_M7WKH8_exchange	0
prot_M7WKI7_exchange	0.00276888310060931
prot_M7WKL7_exchange	0
prot_M7WKR4_exchange	0.185720896695179
prot_M7WKX0_exchange	1
prot_M7WKZ4_exchange	0.152831568851703
prot_M7WL18_exchange	0.20985730093906
prot_M7WL19_exchange	0.851913042687048
prot_M7WL24_exchange	0.318090680037448
prot_M7WL95_exchange	0.0493783423527025
prot_M7WLD5_exchange	0.0653090373976589
prot_M7WLI2_exchange	0.000122601396941648
prot_M7WLP6_exchange	0
prot_M7WLQ0_exchange	1
prot_M7WLR9_exchange	0
prot_M7WLS9_exchange	0
prot_M7WLV7_exchange	0
prot_M7WLX6_exchange	0
prot_M7WLZ2_exchange	0
prot_M7WM30_exchange	0.107759425898018
prot_M7WMC4_exchange	5.09390319837092e-05
prot_M7WMD7_exchange	0
prot_M7WME7_exchange	2.78519072563477e-06
prot_M7WMF3_exchange	0.0262356536913582
prot_M7WMG1_exchange	0
prot_M7WMJ7_exchange	0.195864890905493
prot_M7WMR9_exchange	0.151422998826425
prot_M7WMT2_exchange	1
prot_M7WMU5_exchange	0.0823363047591651
prot_M7WMY0_exchange	0.0409429389812768
prot_M7WMY6_exchange	0
prot_M7WMZ5_exchange	0
prot_M7WN54_exchange	0.110154723416967
prot_M7WN91_exchange	0.580962289101971
prot_M7WN97_exchange	0.00608934013858262
prot_M7WNB5_exchange	1
prot_M7WNF8_exchange	1
prot_M7WNN8_exchange	0.00186148946400242
prot_M7WNN9_exchange	0.067982382214279
prot_M7WNY8_exchange	0
prot_M7WNZ9_exchange	0.0255084158889476
prot_M7WP35_exchange	0.716859268031642
prot_M7WP44_exchange	0.319127036106727
prot_M7WP55_exchange	0
prot_M7WPA0_exchange	0
prot_M7WPA3_exchange	0
prot_M7WPA9_exchange	0
prot_M7WPB7_exchange	0
prot_M7WPU4_exchange	0
prot_M7WPW0_exchange	0.195275278922361
prot_M7WPZ4_exchange	0
prot_M7WQ31_exchange	0.164968420331755
prot_M7WQ32_exchange	0.0090816552136012
prot_M7WQ73_exchange	1
prot_M7WQ86_exchange	0.00310418112305178
prot_M7WQ90_exchange	0.00463395604551543
prot_M7WQ95_exchange	0
prot_M7WQA8_exchange	1
