protein_IDs	previous_values	modified_values	flex_Mass
prot_M7WFB4	1.84037407150776e-07	0.000182197033079268	0.0363745764136097
prot_M7WL39	2.75790161733259e-07	0.000273032260121182	0.014462437223342
prot_M7WNB5	9.1930188936808e-07	0.000910108870481119	0.0524556921599011
prot_M7WS89	4.28167386710333e-07	0.000423885712846359	0.0159943641346509
prot_M7WW40	6.29504369215328e-07	0.000623209325633047	0.0525848847338285
prot_M7X109	1.58930667505888e-07	0.000157341360833858	0.00701084880014165
prot_M7X5G5	1.06718241263278e-07	0.000117483938170675	0.0116501398065186
prot_M7XBZ9	2.05633317358649e-06	0.00203576984186566	0.118521691367771
prot_M7XI04	3.51635072366472e-07	0.000348118721649508	0.0488543238000277
prot_M7XI95	5.64436108232927e-07	0.000558792757100103	0.0339666637867558
