protein_IDs	previous_values	modified_values	flex_Mass
prot_M7WFB4	1.14793923333416e-06	0.00113645984100082	0.226887587733101
prot_M7WHN9	0.00133536502153025	0.00138958619621812	0.00323157713149102
prot_M7WJI1	2.94423448978457e-07	0.000291479214482308	0.0165559227822611
prot_M7WKX0	5.76283754669363e-06	0.00570520917122669	0.250362827783972
prot_M7WMT2	1.27455852685427e-06	0.0106127361976263	0.820969100150596
prot_M7WNB5	2.85766507651203e-06	0.00282908842568513	0.163059383733314
prot_M7WNF8	1.6957842777608e-05	1.7127421205384e-05	6.53297331860363e-06
prot_M7WPA9	4.84521386432648e-05	4.89366600296974e-05	5.20382752328075e-05
prot_M7WQ73	0.000546289327470491	0.000574155573433857	0.00242277251483072
prot_M7WS17	0.00109698769756556	0.00111903715028663	0.00287650148473088
prot_M7WS89	1.33096537933214e-06	0.00131765572551004	0.0497187445559258
prot_M7WT53	1.27003692997212e-05	1.29556467226456e-05	2.09248350796899e-05
prot_M7WW40	3.82948491335901e-06	0.00379119006427822	0.319891382131625
prot_M7X109	4.94043692187348e-07	0.000489103255251432	0.021793563701572
prot_M7X4L7	0.00172132032160437	0.001791212829156	0.00753233510874096
prot_M7XBZ9	6.39214556588216e-06	0.00632822411008515	0.368426631270958
prot_M7XHV2	9.4579173008943e-05	9.7445016530287e-05	0.00020011107752381
prot_M7XI04	1.09307468584099e-06	0.00108214393895151	0.151866036222549
prot_M7XI95	2.18412959747376e-06	0.00216885863072336	0.131836206705377
prot_M7XIT2	2.11360850294053e-06	0.00209247241791112	0.19334027549526
prot_M7XJ70	3.2077313311442e-06	0.00319484192262862	0.171221790958587
prot_M7XKF0	0.00184160042579952	0.00974690859540268	0.313177162765489
prot_M7XKV7	3.77846279648172e-07	0.000374067816843297	0.0550490767340675
prot_M7XKX2	0.0001381384408792	0.000143747415514043	0.000212991669129524
prot_M7XMA7	0.000846618682838922	0.000863635718363984	0.000559842771057604
prot_M7XNE0	1.50861606023112e-05	1.56987192182691e-05	8.18921282876877e-05
prot_M7XSI3	2.47146084211386e-05	2.496175450535e-05	9.81428963415463e-06
prot_M7XZ93	3.826855561525e-07	0.000378858700590975	0.0234241379341954
