protein_IDs	previous_values	modified_values	flex_Mass
prot_M7WFB4	2.22455449713527e-07	0.000220230895216392	0.0439678154539492
prot_M7WJI1	1.96902947087173e-07	0.000194933917624388	0.0110721819172088
prot_M7WNB5	1.91113403944425e-06	0.00189202269912831	0.109049986747802
prot_M7WS89	8.901159420922e-07	0.000881214782707838	0.033250637349449
prot_M7WW40	9.96715251442831e-07	0.000986748098921999	0.0832594008288001
prot_M7X109	3.30399656732002e-07	0.000327095660206631	0.0145747958752749
prot_M7XI04	7.31011258104171e-07	0.00072370114561594	0.10156285170429
prot_M7XI95	1.01071414536614e-06	0.00100059952961927	0.0608222405482325
prot_M7XJ70	4.9098393183423e-07	0.000504179901007643	0.0270214295557009
prot_M7XKV7	9.83435522398715e-08	9.73601167126656e-05	0.0143278418896923
