protein_IDs	previous_values	modified_values	flex_Mass
prot_M7WFB4	2.06862464846993e-06	0.00204793840198523	0.408858973356432
prot_M7WKX0	2.47136521095343e-05	0.024466515588439	1.07366896548425
prot_M7WL39	6.28357383975193e-07	0.000622073810114769	0.0329510638159626
prot_M7WMT2	5.46588304296413e-06	0.0145952748740086	1.12875895574539
prot_M7WNB5	2.09439346801005e-06	0.0020734495332913	0.119506834792105
prot_M7WRD1	4.03281026093498e-07	0.000399248215832563	0.0355723894448855
prot_M7WS89	9.75469525551763e-07	0.000965714830364754	0.0364390546295342
prot_M7WSH3	1.60483287676363e-06	0.00158878454801493	0.0755924654467109
prot_M7WUY3	7.79052307337182e-07	0.00077126178426381	0.0521901811097083
prot_M7WW40	9.96715251408248e-06	0.00986748098921701	0.832594008287779
prot_M7X2F3	2.1430234843e-06	0.002121593249457	0.0943655540811183
prot_M7XIT2	9.06410857744812e-06	0.00897346749167364	0.829130487999405
prot_M7XJ70	1.37562017905978e-05	0.0136186397726918	0.729862005221152
prot_M7XKF0	0.00251283516483379	0.0317944095527748	1.16002060784714
prot_M7XKV7	9.83435522332819e-07	0.000973601167126362	0.14327841889689
prot_M7XRP3	9.12951215681984e-07	0.000903821703525165	0.0376840073554016
prot_M7XVW7	6.05620441919001e-05	0.0599564237499878	2.25449880232329
prot_M7XZ93	9.96030899574999e-07	0.000986070590579249	0.0609669343492756
