protein_IDs	previous_values	modified_values	flex_Mass
prot_M7WKX0	4.84272234609122e-06	0.00479429512263031	0.210389005575153
prot_M7WMT2	1.07105796569293e-06	0.00353239013205572	0.273204949629008
prot_M7WNB5	2.39801413182799e-06	0.00237403399044457	0.136831537653364
prot_M7WS89	1.11688168597697e-06	0.00110571286908686	0.0417215624886004
prot_M7WSH3	3.45693739890997e-07	0.000342236802506663	0.0162832170670352
prot_M7WW40	2.83276966202376e-06	0.00280444196535903	0.236631981303053
prot_M7X5G5	4.08270152518983e-07	0.000427474293365024	0.0423879427373702
prot_M7XBZ9	5.36397897908891e-06	0.00531033918915232	0.309165785587072
prot_M7XHB5	0.00137437143151749	0.00759355739330799	0.257200281484651
prot_M7XI04	9.17253046509188e-07	0.000908080516020005	0.127438304254149
prot_M7XI95	1.6092828958816e-06	0.00159311785349272	0.0968389357873344
prot_M7XJ70	2.69557350380309e-06	0.00269836444668646	0.144614709779762
prot_M7XRP3	1.78895827839571e-07	0.000177106869561175	0.00738430660516844
