protID	geneID	protName	capUse_Xexp	capUse_XNlim	absUse_Xexp	absUse_XNlim	UB_Xexp	UB_XNlim
M7WCH0	RHTO_07387	RHTO_07387	0	0	0	0	1.99e-06	7.98e-07
M7WCK1	RHTO_06687	RHTO_06687	0	0	0	0	Inf	Inf
M7WCS9	RHTO_06603	RHTO_06603	0	0	0	0	Inf	Inf
M7WD54	RHTO_06455	RHTO_06455	0	0	0	0	8.94e-06	4.16e-06
M7WD91	RHTO_06405	RHTO_06405	0	0	5.36e-08	0	Inf	Inf
M7WD99	RHTO_06415	RHTO_06415	0.115	0.066	4.13e-06	1.7e-06	3.6e-05	2.57e-05
M7WDC1	RHTO_06445	RHTO_06445	0.0207	0	8.11e-09	0	3.91e-07	6.03e-08
M7WDE2	RHTO_05958	RHTO_05958	0	0	0	1e-08	Inf	Inf
M7WDH6	RHTO_05993	RHTO_05993	0.0852	0.022	5.7e-08	5.71e-09	6.69e-07	2.6e-07
M7WDP6	RHTO_05934	RHTO_05934	0	0.136	0	3.43e-07	5.38e-06	2.53e-06
M7WE11	RHTO_05760	RHTO_05760	0	0	1.37e-08	1.22e-09	Inf	Inf
M7WEF4	RHTO_05534	RHTO_05534	0	0.00253	4.93e-09	1.1e-09	Inf	4.34e-07
M7WEG7	RHTO_05549	RHTO_05549	0	0	0	0	4.02e-07	1.15e-07
M7WEJ4	RHTO_05579	RHTO_05579	0	0	0	0	5.59e-07	1.03e-07
M7WEV1	RHTO_05520	RHTO_05520	0	0	0	0	6.76e-06	1.48e-06
M7WFB4	RHTO_05280	RHTO_05280	0	0	1.05e-06	3.47e-07	Inf	Inf
M7WFI6	RHTO_05129	RHTO_05129	0	0	0	0	Inf	Inf
M7WFJ0	RHTO_05134	RHTO_05134	0.267	0.0612	2.3e-07	2.52e-08	8.6e-07	4.11e-07
M7WFK5	RHTO_05149	RHTO_05149	0	0	0	9.55e-09	1.35e-06	Inf
M7WFL8	RHTO_05159	RHTO_05159	0	0	0	2.49e-08	1.52e-07	Inf
M7WFU6	RHTO_05219	RHTO_05219	0	0	0	0	8.6e-07	1.12e-06
M7WFV3	RHTO_05229	RHTO_05229	0	0	2.47e-08	8.19e-09	Inf	Inf
M7WFX8	RHTO_04504	RHTO_04504	0	0	0	0	Inf	Inf
M7WG08	RHTO_04544	RHTO_04544	0	0	2.59e-06	5.77e-07	Inf	Inf
M7WG58	RHTO_04408	RHTO_04408	0	0	0	0	4.94e-06	1.45e-06
M7WG85	RHTO_04438	RHTO_04438	0	0	0	0	Inf	Inf
M7WGA7	RHTO_04463	RHTO_04463	0.011	0.19	4.62e-08	4.48e-07	4.2e-06	2.36e-06
M7WGF6	RHTO_04291	RHTO_04291	0	0	1.74e-13	0	Inf	Inf
M7WGI6	RHTO_04321	RHTO_04321	0	0	0	0	Inf	Inf
M7WGT6	RHTO_04192	RHTO_04192	0	1.67e-05	7.09e-13	2.35e-13	Inf	1.41e-08
M7WGU3	RHTO_04201	RHTO_04201	0	0	0	0	Inf	1.45e-06
M7WGZ0	RHTO_04009	RHTO_04009	0	0	0	0	Inf	Inf
M7WH87	RHTO_04109	RHTO_04109	0	0	0	0	8.9e-07	Inf
M7WHA9	RHTO_03890	RHTO_03890	0	0	0	0	2.21e-07	Inf
M7WHB3	RHTO_03895	RHTO_03895	5.21e-05	5.63e-06	1.08e-11	1.08e-12	2.07e-07	1.92e-07
M7WHB7	RHTO_03900	RHTO_03900	0	0	0	0	Inf	Inf
M7WHC9	RHTO_03915	RHTO_03915	0	0	0	0	3.07e-06	6.43e-06
M7WHH3	RHTO_03971	RHTO_03971	0	0	0	0	Inf	Inf
M7WHN9	RHTO_03795	RHTO_03795	0	0	0	0	1.36e-06	3.58e-07
M7WHQ7	RHTO_03810	RHTO_03810	0	0	0	0	Inf	Inf
M7WHV7	RHTO_03865	RHTO_03865	0.0135	0.018	1.24e-08	4.09e-09	9.15e-07	2.27e-07
M7WHZ8	RHTO_03646	RHTO_03646	0	0	2.11e-05	6.98e-06	Inf	Inf
M7WI20	RHTO_03666	RHTO_03666	0.115	0.066	4.13e-06	1.7e-06	3.6e-05	2.57e-05
M7WI54	RHTO_03701	RHTO_03701	0	0	0	0	2.57e-06	1.17e-06
M7WI96	RHTO_03746	RHTO_03746	0.00895	0.00498	6.96e-07	2.11e-07	7.77e-05	4.23e-05
M7WIC9	RHTO_03483	RHTO_03483	0	0	0	0	Inf	Inf
M7WIF9	RHTO_03528	RHTO_03528	0	0	0	0	Inf	Inf
M7WIG9	RHTO_03543	RHTO_03543	0.036	0.0306	3.77e-07	1.71e-07	1.05e-05	5.57e-06
M7WIR6	RHTO_03331	RHTO_03331	0	0	0	0	1.51e-06	8.07e-07
M7WJ06	RHTO_03406	RHTO_03406	0	0	0	0	4.58e-06	1.32e-06
M7WJ30	RHTO_03426	RHTO_03426	0	0	0	0	5.15e-07	3.16e-07
M7WJE8	RHTO_06635	RHTO_06635	0	1	1.87e-07	6.2e-08	Inf	6.2e-08
M7WJI1	RHTO_02590	RHTO_02590	0.218	0.336	1.57e-07	5.21e-08	7.22e-07	1.55e-07
M7WJN6	RHTO_02645	RHTO_02645	0	0	0	0	3.88e-07	1.56e-07
M7WJQ7	RHTO_06542	RHTO_06542	0	0	6.58e-13	0	Inf	Inf
M7WJS0	RHTO_06562	RHTO_06562	0	0	0	0	Inf	Inf
M7WJW3	RHTO_02367	RHTO_02367	0	0	0	0	Inf	Inf
M7WJX6	RHTO_06489	RHTO_06489	0	0	0	0	Inf	Inf
M7WJZ1	RHTO_06409	RHTO_06409	0	0	0	0	Inf	Inf
M7WK31	RHTO_02463	RHTO_02463	0.0147	0	6.77e-08	2.25e-08	4.61e-06	Inf
M7WK45	RHTO_05957	RHTO_05957	0	0	0	0	Inf	Inf
M7WK50	RHTO_05962	RHTO_05962	0	0	0	0	8.47e-07	2.44e-07
M7WK86	RHTO_05997	RHTO_05997	0	0	0	0	Inf	Inf
M7WKC4	RHTO_06551	RHTO_06551	0	0.0221	0	9.39e-08	1.12e-05	4.24e-06
