ID	NAME	EQUATION	Xexp_mean_normalized	XNlim_mean_normalized	Aexp_mean_normalized	ANlim_mean_normalized	GexpUrea_mean_normalized	GNlimUrea_mean_normalized
r_0001	(R)-lactate:ferricytochrome-c 2-oxidoreductase	(R)-lactate[c] + 2 ferricytochrome c[m] => 2 ferrocytochrome c[m] + pyruvate[c]	0.0	0.0	0.0	0.0	0.0	0.0
r_0002	(R)-lactate:ferricytochrome-c 2-oxidoreductase	(R)-lactate[m] + 2 ferricytochrome c[m] => 2 ferrocytochrome c[m] + pyruvate[m]	0.0	0.0	0.0	3.037839975632674e-14	0.0	0.0
r_0003	(R,R)-butanediol dehydrogenase	(R,R)-2,3-butanediol[c] + NAD[c] <=> (R)-acetoin[c] + H+[c] + NADH[c]	-0.0014875113112706386	-8.23327002847431e-05	-2.1078670090758682e-05	-4.4381379413789063e-05	-8.482592902528714e-05	-0.0009401084078216361
r_0004	(S)-lactate:ferricytochrome-c 2-oxidoreductase	(S)-lactate[c] + 2 ferricytochrome c[m] => 2 ferrocytochrome c[m] + pyruvate[c]	0.0	0.0	0.0	0.0	0.0	0.0
r_0005	1,3-beta-glucan synthase	UDP-D-glucose[c] => (1->3)-beta-D-glucan[ce] + H+[c] + UDP[c]	0.017584126021660818	0.03138853294542052	0.008482764823077584	0.004726459242614648	0.03811897574740974	0.02146352328378954
r_0006	1,6-beta-glucan synthase	UDP-D-glucose[c] => (1->6)-beta-D-glucan[ce] + H+[c] + UDP[c]	0.005873499552387898	0.010484477708569796	0.0028334350275623418	0.0015787446720234362	0.012732606241973992	0.007169323886021706
r_0007	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	1-(5-phospho-D-ribosyl)-5-[(5-phospho-D-ribosylamino)methylideneamino]imidazole-4-carboxamide [cytoplasm][c] => 5-[(5-phospho-1-deoxy-D-ribulos-1-ylamino)methylideneamino]-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide [cytoplasm][c]	0.002583755733614636	0.0013909357530207066	0.0008707114287152719	0.00028419141207316475	0.009862479953658755	0.0021443227604608724
r_0012	1-pyrroline-5-carboxylate dehydrogenase	1-pyrroline-5-carboxylate[m] + 2 H2O[m] + NAD[m] <=> H+[m] + L-glutamate[m] + NADH[m]	-3.671240480461735e-21	0.0	0.0	0.0	-2.7360364729273506e-21	0.0
r_0013	2,3-diketo-5-methylthio-1-phosphopentane degradation reaction	5-(methylsulfanyl)-2,3-dioxopentyl phosphate[c] + 3 H2O[c] => 4-methylthio-2-oxobutanoate[c] + formate[c] + 6 H+[c] + phosphate[c]	7.150458940989591e-06	1.0303848230464445e-05	1.4504901366902689e-06	2.217943863096725e-06	8.401071075905291e-06	1.3497402210027187e-05
r_0014	2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase	2,5-diamino-6-(5-phosphono)ribitylamino-4(3H)-pyrimidinone[c] + H+[c] + H2O[c] => 5-amino-6-(5-phosphoribitylamino)uracil[c] + ammonium[c]	2.8692357775460068e-05	3.3709956207511173e-05	1.0907573501134837e-05	6.029299989811247e-06	7.56342526419135e-05	4.578968837883772e-05
r_0015	2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)	2,5-diamino-4-hydroxy-6-(5-phosphoribosylamino)pyrimidine[c] + H+[c] + NADPH[c] => 2,5-diamino-6-(5-phosphono)ribitylamino-4(3H)-pyrimidinone[c] + NADP(+)[c]	2.8692357775460068e-05	3.3709956207511173e-05	1.0907573501134837e-05	6.029299989811247e-06	7.56342526419135e-05	4.578968837883772e-05
r_0016	2-aceto-2-hydroxybutanoate synthase	2-oxobutanoate[m] + H+[m] + pyruvate[m] => (S)-2-acetyl-2-hydroxybutanoate[m] + carbon dioxide[m]	0.004547484340024494	0.0023127070782534747	0.0015602677138800499	0.0006494185402717552	0.015873591861548856	0.004244799316157364
r_0017	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	2-amino-6-(hydroxymethyl)-7,8-dihydropteridin-4-ol[m] + ATP[m] => (2-amino-4-hydroxy-7,8-dihydropteridin-6-yl)methyl trihydrogen diphosphate[m] + AMP[m] + H+[m]	0.0	0.0	0.0	0.0	0.0	0.0
r_0018	2-aminoadipate transaminase	2-oxoadipic acid[c] + L-glutamate[c] <=> 2-oxoglutarate[c] + L-2-aminoadipate[c]	0.0051647114802423726	0.002707092803047102	0.0017641062229506628	0.0005354341038057098	0.019596918184487437	0.004235769128379623
r_0019	2-dehydropantoate 2-reductase	2-dehydropantoate[c] + H+[c] + NADPH[c] => (R)-pantoate[c] + NADP(+)[c]	1.2867368029051137e-05	2.2668724219875934e-05	6.099743512396644e-06	9.191704790603458e-06	4.708895894484902e-06	2.8050468234946005e-05
