protID	geneID	protName	capUse_GNlim	capUse_GNlim2	absUse_GNlim	UB_GNlim
M7WCH0	RHTO_07387	RHTO_07387	0	0	0	8.62e-07
M7WCK1	RHTO_06687	RHTO_06687	0	0	0	Inf
M7WCS9	RHTO_06603	RHTO_06603	0	0	0	Inf
M7WD54	RHTO_06455	RHTO_06455	0	0	0	6.78e-06
M7WD91	RHTO_06405	RHTO_06405	0	0	0	Inf
M7WD99	RHTO_06415	RHTO_06415	0.0179	0.0179	4.92e-07	2.76e-05
M7WDC1	RHTO_06445	RHTO_06445	0	0	0	5.68e-08
M7WDE2	RHTO_05958	RHTO_05958	0	0	8.8e-37	Inf
M7WDH6	RHTO_05993	RHTO_05993	0.0274	0.0274	6.33e-09	2.31e-07
M7WDP6	RHTO_05934	RHTO_05934	0	0	0	4.94e-06
M7WE11	RHTO_05760	RHTO_05760	0	0	1.52e-09	Inf
M7WEF4	RHTO_05534	RHTO_05534	0.00171	0.00171	1.06e-09	6.19e-07
M7WEG7	RHTO_05549	RHTO_05549	0.0052	0.0052	8.4e-10	1.61e-07
M7WEJ4	RHTO_05579	RHTO_05579	0	0	0	9.2e-08
M7WEV1	RHTO_05520	RHTO_05520	-7.48e-32	-7.48e-32	-1.9e-37	2.53e-06
M7WFB4	RHTO_05280	RHTO_05280	1	1	3.21e-07	3.21e-07
M7WFI6	RHTO_05129	RHTO_05129	0	0	0	3.79e-08
M7WFJ0	RHTO_05134	RHTO_05134	0.0259	0.0259	2.55e-08	9.87e-07
M7WFK5	RHTO_05149	RHTO_05149	0	0	0	8.01e-07
M7WFL8	RHTO_05159	RHTO_05159	0	0	0	Inf
M7WFU6	RHTO_05219	RHTO_05219	0	0	0	1.67e-06
M7WFV3	RHTO_05229	RHTO_05229	0	0	0	Inf
M7WFX8	RHTO_04504	RHTO_04504	0	0	0	Inf
M7WG08	RHTO_04544	RHTO_04544	0	0	5.55e-07	Inf
M7WG58	RHTO_04408	RHTO_04408	0	0	0	2.23e-06
M7WG85	RHTO_04438	RHTO_04438	0	0	0	Inf
M7WGA7	RHTO_04463	RHTO_04463	0.0675	0.0675	3.74e-07	5.53e-06
M7WGF6	RHTO_04291	RHTO_04291	0	0	3.74e-14	Inf
M7WGI6	RHTO_04321	RHTO_04321	0	0	0	Inf
M7WGT6	RHTO_04192	RHTO_04192	0	0	0	Inf
M7WGU3	RHTO_04201	RHTO_04201	0	0	0	1.78e-06
M7WGZ0	RHTO_04009	RHTO_04009	0	0	0	Inf
M7WH87	RHTO_04109	RHTO_04109	0	0	0	7.48e-07
M7WHA9	RHTO_03890	RHTO_03890	-2.07e-14	-2.07e-14	-1.9e-21	9.16e-08
M7WHB3	RHTO_03895	RHTO_03895	3.58e-06	3.58e-06	1.2e-12	3.34e-07
M7WHB7	RHTO_03900	RHTO_03900	0	0	0	Inf
M7WHC9	RHTO_03915	RHTO_03915	0	0	0	8.07e-06
M7WHH3	RHTO_03971	RHTO_03971	0	0	0	Inf
M7WHN9	RHTO_03795	RHTO_03795	0	0	0	6.65e-07
M7WHQ7	RHTO_03810	RHTO_03810	0	0	0	1.78e-08
M7WHV7	RHTO_03865	RHTO_03865	0	0	0	7.67e-07
M7WHZ8	RHTO_03646	RHTO_03646	0	0	6.58e-06	Inf
M7WI20	RHTO_03666	RHTO_03666	0.0179	0.0179	4.92e-07	2.76e-05
M7WI54	RHTO_03701	RHTO_03701	0	0	0	8.17e-07
M7WI96	RHTO_03746	RHTO_03746	0.00119	0.00119	8.86e-08	7.47e-05
M7WIC9	RHTO_03483	RHTO_03483	0	0	0	Inf
M7WIF9	RHTO_03528	RHTO_03528	0	0	0	Inf
M7WIG9	RHTO_03543	RHTO_03543	0.00663	0.00663	5.93e-08	8.95e-06
M7WIR6	RHTO_03331	RHTO_03331	0	0	0	1.46e-06
M7WJ06	RHTO_03406	RHTO_03406	0	0	0	5.16e-07
M7WJ30	RHTO_03426	RHTO_03426	0	0	0	3.1e-07
M7WJE8	RHTO_06635	RHTO_06635	0	0	5.73e-08	Inf
M7WJI1	RHTO_02590	RHTO_02590	-9.86e-06	-9.86e-06	-1.13e-12	1.15e-07
M7WJN6	RHTO_02645	RHTO_02645	0	0	0	3.51e-07
M7WJQ7	RHTO_06542	RHTO_06542	0	0	7.31e-14	Inf
M7WJS0	RHTO_06562	RHTO_06562	0	0	0	Inf
M7WJW3	RHTO_02367	RHTO_02367	0	0	0	Inf
M7WJX6	RHTO_06489	RHTO_06489	0	0	0	1.36e-07
M7WJZ1	RHTO_06409	RHTO_06409	0	0	0	Inf
M7WK31	RHTO_02463	RHTO_02463	0.0104	0.0104	2.07e-08	1.99e-06
M7WK45	RHTO_05957	RHTO_05957	0	0	0	Inf
M7WK50	RHTO_05962	RHTO_05962	0	0	0	4.75e-08
M7WK86	RHTO_05997	RHTO_05997	0	0	0	Inf
M7WKC4	RHTO_06551	RHTO_06551	0.0151	0.0151	8.66e-08	5.74e-06
M7WKC7	RHTO_05908	RHTO_05908	0	0	0	8.19e-07
M7WKC9	RHTO_06556	RHTO_06556	0	0	0	Inf
M7WKF8	RHTO_02312	RHTO_02312	0.0231	0.0231	6.39e-08	2.76e-06
