protID	geneID	protName	capUse_Gexp	capUse_Gexp2	absUse_Gexp	UB_Gexp
M7WCH0	RHTO_07387	RHTO_07387	0	0	0	2.35e-06
M7WCK1	RHTO_06687	RHTO_06687	0	0	0	Inf
M7WCS9	RHTO_06603	RHTO_06603	0	0	0	Inf
M7WD54	RHTO_06455	RHTO_06455	0	0	0	1.42e-05
M7WD91	RHTO_06405	RHTO_06405	0	0	0	Inf
M7WD99	RHTO_06415	RHTO_06415	0.0944	0.0944	8.88e-06	9.41e-05
M7WDC1	RHTO_06445	RHTO_06445	0.0186	0.0186	1.9e-08	1.02e-06
M7WDE2	RHTO_05958	RHTO_05958	0	0	-8.83e-22	Inf
M7WDH6	RHTO_05993	RHTO_05993	0.379	0.379	3.14e-07	8.27e-07
M7WDP6	RHTO_05934	RHTO_05934	0	0	0	1.12e-05
M7WE11	RHTO_05760	RHTO_05760	0	0	7.52e-08	Inf
M7WEF4	RHTO_05534	RHTO_05534	0.0136	0.0136	1.87e-08	1.37e-06
M7WEG7	RHTO_05549	RHTO_05549	0.0156	0.0156	1.58e-08	1.01e-06
M7WEJ4	RHTO_05579	RHTO_05579	0	0	0	1.75e-07
M7WEV1	RHTO_05520	RHTO_05520	0.0682	0.0682	4e-07	5.86e-06
M7WFB4	RHTO_05280	RHTO_05280	0.597	0.597	2.4e-06	4.02e-06
M7WFI6	RHTO_05129	RHTO_05129	0	0	0	Inf
M7WFJ0	RHTO_05134	RHTO_05134	0.342	0.342	1.27e-06	3.7e-06
M7WFK5	RHTO_05149	RHTO_05149	0	0	0	2.85e-06
M7WFL8	RHTO_05159	RHTO_05159	0	0	0	Inf
M7WFU6	RHTO_05219	RHTO_05219	0	0	0	4.07e-06
M7WFV3	RHTO_05229	RHTO_05229	0	0	5.65e-08	Inf
M7WFX8	RHTO_04504	RHTO_04504	0	0	0	Inf
M7WG08	RHTO_04544	RHTO_04544	0	0	9.82e-06	Inf
M7WG58	RHTO_04408	RHTO_04408	0	0	0	1.42e-05
M7WG85	RHTO_04438	RHTO_04438	0	0	0	Inf
M7WGA7	RHTO_04463	RHTO_04463	0.588	0.588	3.02e-06	5.13e-06
M7WGF6	RHTO_04291	RHTO_04291	0	0	6.61e-13	Inf
M7WGI6	RHTO_04321	RHTO_04321	0	0	0	Inf
M7WGT6	RHTO_04192	RHTO_04192	0	0	0	4.52e-08
M7WGU3	RHTO_04201	RHTO_04201	0	0	0	4.85e-06
