protID	geneID	protName	capUse_XNlim	capUse_XNim2	absUse_XNlim	UB_XNlim
M7WCH0	RHTO_07387	RHTO_07387	0.0155	0.0155	1.46e-08	9.39e-07
M7WCK1	RHTO_06687	RHTO_06687	0	0	0	Inf
M7WCS9	RHTO_06603	RHTO_06603	0	0	0	Inf
M7WD54	RHTO_06455	RHTO_06455	0	0	0	4.9e-06
M7WD91	RHTO_06405	RHTO_06405	0	0	0	Inf
M7WD99	RHTO_06415	RHTO_06415	0.0245	0.0245	7.42e-07	3.03e-05
M7WDC1	RHTO_06445	RHTO_06445	0.0186	0.0186	1.32e-09	7.09e-08
M7WDE2	RHTO_05958	RHTO_05958	0	0	1.77e-14	Inf
M7WDH6	RHTO_05993	RHTO_05993	0.0221	0.0221	6.74e-09	3.06e-07
M7WDP6	RHTO_05934	RHTO_05934	0	0	0	2.97e-06
M7WE11	RHTO_05760	RHTO_05760	0	0	1.62e-09	Inf
M7WEF4	RHTO_05534	RHTO_05534	0.00254	0.00254	1.3e-09	5.11e-07
M7WEG7	RHTO_05549	RHTO_05549	0.00221	0.00221	2.99e-10	1.35e-07
M7WEJ4	RHTO_05579	RHTO_05579	0	0	0	1.21e-07
M7WEV1	RHTO_05520	RHTO_05520	0	0	0	1.74e-06
M7WFB4	RHTO_05280	RHTO_05280	0	0	4.1e-07	Inf
M7WFI6	RHTO_05129	RHTO_05129	0	0	0	Inf
M7WFJ0	RHTO_05134	RHTO_05134	0.0562	0.0562	2.72e-08	4.84e-07
M7WFK5	RHTO_05149	RHTO_05149	0	0	0	Inf
M7WFL8	RHTO_05159	RHTO_05159	0	0	0	Inf
M7WFU6	RHTO_05219	RHTO_05219	0	0	0	1.32e-06
M7WFV3	RHTO_05229	RHTO_05229	0	0	0	Inf
M7WFX8	RHTO_04504	RHTO_04504	0	0	0	Inf
M7WG08	RHTO_04544	RHTO_04544	0	0	6.82e-07	Inf
M7WG58	RHTO_04408	RHTO_04408	0	0	0	1.71e-06
M7WG85	RHTO_04438	RHTO_04438	0	0	0	Inf
M7WGA7	RHTO_04463	RHTO_04463	0.17	0.17	4.71e-07	2.78e-06
M7WGF6	RHTO_04291	RHTO_04291	0	0	4.59e-14	Inf
M7WGI6	RHTO_04321	RHTO_04321	0	0	0	Inf
M7WGT6	RHTO_04192	RHTO_04192	-3.79e-10	-3.79e-10	-6.27e-18	1.65e-08
M7WGU3	RHTO_04201	RHTO_04201	0	0	0	1.71e-06
M7WGZ0	RHTO_04009	RHTO_04009	0	0	0	Inf
M7WH87	RHTO_04109	RHTO_04109	0	0	0	Inf
M7WHA9	RHTO_03890	RHTO_03890	0	0	0	Inf
M7WHB3	RHTO_03895	RHTO_03895	5.65e-06	5.65e-06	1.27e-12	2.26e-07
M7WHB7	RHTO_03900	RHTO_03900	0	0	0	Inf
M7WHC9	RHTO_03915	RHTO_03915	0	0	0	7.57e-06
M7WHH3	RHTO_03971	RHTO_03971	0	0	0	Inf
